"geo_entity2","order","Mean","Lower","Upper"
"Hawai'i Island",0,10.05115,9.532124,10.564852
"Hawai'i Island",1,3.62494,3.322675,3.92065175
"Hawai'i Island",2,2.6319,2.41278325,2.85945725
"Kaua'i Island",0,27.31435,26.2416605,28.42330575
"Kaua'i Island",1,6.63439,6.447745,6.8483705
"Kaua'i Island",2,4.16292,4.048041,4.28999725
"Maui Nui",0,13.77735,13.1253655,14.38053425
"Maui Nui",1,4.4928,4.31706475,4.657448
"Maui Nui",2,3.1949,3.07440475,3.325999
"O'ahu Island",0,16.09749,15.4571115,16.69071775
"O'ahu Island",1,4.3083,4.04846875,4.56367625
"O'ahu Island",2,3.10059,2.89699175,3.310824
