"geo_entity2","index","value"
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",7
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",6.22222222222222
"Hawai'i Island","beta_S",6.22222222222222
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",7
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",9.33333333333333
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",14
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",8
"Hawai'i Island","beta_S",5.6
"Hawai'i Island","beta_S",11.2
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",18.6666666666667
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",28
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
"Hawai'i Island","beta_S",56
