"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","qD_pred"
"1",1,"interpolated",0,1,1,1,0.292,0.29,0.293,"Maui Nui",18.9175898469104
"2",11346,"interpolated",0,50.509,49.864,51.154,0.999,0.999,0.999,"Maui Nui",33.2177858577628
"3",22691,"interpolated",0,54.829,54.156,55.502,1,1,1,"Maui Nui",45.961034400509
"4",34037,"interpolated",0,56.533,55.942,57.124,1,1,1,"Maui Nui",55.5559142939615
"5",45382,"interpolated",0,57.31,56.832,57.789,1,1,1,"Maui Nui",61.0467642997261
"6",56727,"interpolated",0,57.682,57.31,58.054,1,1,1,"Maui Nui",62.5625320405696
"7",68073,"interpolated",0,57.859,57.575,58.144,1,1,1,"Maui Nui",61.2342276098992
"8",79418,"interpolated",0,57.942,57.727,58.156,1,1,1,"Maui Nui",58.7179183703464
"9",90763,"interpolated",0,57.978,57.817,58.138,1,1,1,"Maui Nui",56.5611184248432
"10",102109,"interpolated",0,57.992,57.874,58.111,1,1,1,"Maui Nui",55.6902707120388
"11",113454,"interpolated",0,57.998,57.912,58.083,1,1,1,"Maui Nui",56.2104147203737
"12",124799,"interpolated",0,57.999,57.939,58.06,1,1,1,"Maui Nui",57.5582712279307
"13",136145,"interpolated",0,58,57.959,58.041,1,1,1,"Maui Nui",58.8989698525914
"14",147490,"interpolated",0,58,57.974,58.026,1,1,1,"Maui Nui",59.5631068767006
"15",158835,"interpolated",0,58,57.984,58.016,1,1,1,"Maui Nui",59.3325933989776
"16",170181,"interpolated",0,58,57.992,58.008,1,1,1,"Maui Nui",58.4702471200174
"17",181526,"interpolated",0,58,57.996,58.004,1,1,1,"Maui Nui",57.5215200998425
"18",192871,"interpolated",0,58,57.999,58.001,1,1,1,"Maui Nui",57.0145912926333
"19",204217,"interpolated",0,58,58,58,1,1,1,"Maui Nui",57.222115920599
"20",204218,"observed",0,58,58,58,1,1,1,"Maui Nui",57.22216624906
"21",204219,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",57.2222165829872
"22",214967,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",57.9843793821787
"23",225715,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",58.8210201907269
"24",236463,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",59.2625292760306
"25",247212,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",59.0901266095774
"26",257960,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",58.4097835026307
"27",268708,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",57.5742569967915
"28",279456,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",56.9957178585344
"29",290205,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",56.9418377941085
"30",300953,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",57.412362384481
"31",311701,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",58.1511772145014
"32",322449,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",58.7821916694208
"33",333198,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",58.9983068278543
"34",343946,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",58.7099757813866
"35",354694,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",58.0825987824069
"36",365442,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",57.4478698828708
"37",376191,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",57.1375749961043
"38",386939,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",57.3260499867247
"39",397687,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",57.9632947108027
"40",408436,"extrapolated",0,58,58,58,1,1,1,"Maui Nui",58.8385769545486
"41",1,"interpolated",0,1,1,1,0.357,0.355,0.358,"Hawai'i Island",19.3678639693404
"42",43302,"interpolated",0,50.816,50.194,51.439,1,1,1,"Hawai'i Island",32.8738174661908
"43",86603,"interpolated",0,53.599,52.89,54.308,1,1,1,"Hawai'i Island",44.902801939733
"44",129904,"interpolated",0,54.811,54.169,55.454,1,1,1,"Hawai'i Island",53.9448485151749
"45",173206,"interpolated",0,55.419,54.89,55.949,1,1,1,"Hawai'i Island",59.0960581489946
"46",216507,"interpolated",0,55.727,55.311,56.142,1,1,1,"Hawai'i Island",60.479126624469
"47",259808,"interpolated",0,55.878,55.56,56.196,1,1,1,"Hawai'i Island",59.1693852970539
"48",303109,"interpolated",0,55.949,55.709,56.189,1,1,1,"Hawai'i Island",56.7397459216956
"49",346411,"interpolated",0,55.98,55.8,56.161,1,1,1,"Hawai'i Island",54.6602154973009
"50",389712,"interpolated",0,55.993,55.858,56.129,1,1,1,"Hawai'i Island",53.81101266536
"51",433013,"interpolated",0,55.998,55.897,56.099,1,1,1,"Hawai'i Island",54.2916180424959
"52",476315,"interpolated",0,55.999,55.925,56.074,1,1,1,"Hawai'i Island",55.5665161901533
"53",519616,"interpolated",0,56,55.946,56.053,1,1,1,"Hawai'i Island",56.8410109794512
"54",562917,"interpolated",0,56,55.963,56.037,1,1,1,"Hawai'i Island",57.477154803081
