"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","qD_pred"
"1",1,"interpolated",0,1,1,1,0.248,0.247,0.25,"Maui Nui",20.1958176603394
"2",14140,"interpolated",0,53.489,52.725,54.252,1,1,1,"Maui Nui",34.8553211553397
"3",28279,"interpolated",0,57.215,56.419,58.011,1,1,1,"Maui Nui",47.9118316755602
"4",42419,"interpolated",0,58.707,58.015,59.399,1,1,1,"Maui Nui",57.7272979725269
"5",56558,"interpolated",0,59.393,58.837,59.949,1,1,1,"Maui Nui",63.3196946909737
"6",70697,"interpolated",0,59.721,59.292,60.149,1,1,1,"Maui Nui",64.8240271971764
"7",84837,"interpolated",0,59.877,59.555,60.199,1,1,1,"Maui Nui",63.4076966096799
"8",98976,"interpolated",0,59.949,59.711,60.186,1,1,1,"Maui Nui",60.7782750834857
"9",113116,"interpolated",0,59.98,59.808,60.153,1,1,1,"Maui Nui",58.530427424822
"10",127255,"interpolated",0,59.993,59.869,60.117,1,1,1,"Maui Nui",57.6182773813645
"11",141394,"interpolated",0,59.998,59.911,60.085,1,1,1,"Maui Nui",58.1478516622731
"12",155534,"interpolated",0,59.999,59.939,60.06,1,1,1,"Maui Nui",59.5364787858816
"13",169673,"interpolated",0,60,59.96,60.04,1,1,1,"Maui Nui",60.9208302893422
"14",183813,"interpolated",0,60,59.974,60.026,1,1,1,"Maui Nui",61.6091155043917
"15",197952,"interpolated",0,60,59.985,60.015,1,1,1,"Maui Nui",61.3746244812971
"16",212091,"interpolated",0,60,59.992,60.008,1,1,1,"Maui Nui",60.4874738963219
"17",226231,"interpolated",0,60,59.996,60.004,1,1,1,"Maui Nui",59.5094418636513
"18",240370,"interpolated",0,60,59.999,60.001,1,1,1,"Maui Nui",58.9856561516701
"19",254510,"interpolated",0,60,60,60,1,1,1,"Maui Nui",59.1979481450309
"20",254511,"observed",0,60,60,60,1,1,1,"Maui Nui",59.1979896664673
"21",254512,"extrapolated",0,60,60,60,1,1,1,"Maui Nui",59.1980311915347
"22",267907,"extrapolated",0,60,60,60,1,1,1,"Maui Nui",59.9825732032277
"23",281302,"extrapolated",0,60,60,60,1,1,1,"Maui Nui",60.844694947016
"24",294697,"extrapolated",0,60,60,60,1,1,1,"Maui Nui",61.3002968841853
"25",308093,"extrapolated",0,60,60,60,1,1,1,"Maui Nui",61.1235612250923
"26",321488,"extrapolated",0,60,60,60,1,1,1,"Maui Nui",60.4232506562586
"27",334883,"extrapolated",0,60,60,60,1,1,1,"Maui Nui",59.5625513171769
