"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,9.588,9.48,9.695,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",0,10,10,10,1,1,1,"Hawai'i Island",1
1000,"interpolated",1,2.966,2.941,2.992,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",1,2.979,2.953,3.004,1,1,1,"Hawai'i Island",1
1000,"interpolated",2,2.056,2.038,2.074,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",2,2.058,2.04,2.076,1,1,1,"Hawai'i Island",1
1000,"interpolated",0,11.038,10.803,11.273,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",0,13.957,13.885,14.028,1,1,1,"Kaua'i Island",1
1000,"interpolated",1,2.916,2.884,2.949,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",1,2.934,2.901,2.967,1,1,1,"Kaua'i Island",1
1000,"interpolated",2,1.91,1.892,1.929,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",2,1.912,1.893,1.93,1,1,1,"Kaua'i Island",1
1000,"interpolated",0,9.322,9.051,9.592,0.998,0.998,0.999,"Maui Nui",1
10000,"interpolated",0,11.922,11.746,12.098,1,1,1,"Maui Nui",1
1000,"interpolated",1,2.618,2.59,2.645,0.998,0.998,0.999,"Maui Nui",1
10000,"interpolated",1,2.631,2.603,2.659,1,1,1,"Maui Nui",1
1000,"interpolated",2,2.003,1.984,2.023,0.998,0.998,0.999,"Maui Nui",1
10000,"interpolated",2,2.005,1.985,2.024,1,1,1,"Maui Nui",1
1000,"interpolated",0,14.27,14.04,14.501,0.999,0.999,0.999,"O'ahu Island",1
10000,"interpolated",0,15,14.992,15.008,1,1,1,"O'ahu Island",1
1000,"interpolated",1,5.464,5.388,5.541,0.999,0.999,0.999,"O'ahu Island",1
10000,"interpolated",1,5.501,5.424,5.578,1,1,1,"O'ahu Island",1
1000,"interpolated",2,4.056,3.986,4.126,0.999,0.999,0.999,"O'ahu Island",1
10000,"interpolated",2,4.067,3.997,4.138,1,1,1,"O'ahu Island",1
1000,"interpolated",0,12.487,12.31,12.665,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",0,13,13,13,1,1,1,"Hawai'i Island",2
1000,"interpolated",1,6.879,6.81,6.949,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",1,6.919,6.849,6.988,1,1,1,"Hawai'i Island",2
1000,"interpolated",2,5.733,5.657,5.81,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",2,5.758,5.681,5.835,1,1,1,"Hawai'i Island",2
1000,"interpolated",0,5.965,5.826,6.104,0.999,0.999,0.999,"Kaua'i Island",2
10000,"interpolated",0,7.818,7.613,8.023,1,1,1,"Kaua'i Island",2
1000,"interpolated",1,1.789,1.773,1.805,0.999,0.999,0.999,"Kaua'i Island",2
10000,"interpolated",1,1.795,1.779,1.811,1,1,1,"Kaua'i Island",2
1000,"interpolated",2,1.37,1.361,1.378,0.999,0.999,0.999,"Kaua'i Island",2
10000,"interpolated",2,1.37,1.361,1.379,1,1,1,"Kaua'i Island",2
1000,"interpolated",0,16.746,16.459,17.032,0.998,0.998,0.998,"Maui Nui",2
10000,"interpolated",0,18.964,18.847,19.082,1,1,1,"Maui Nui",2
1000,"interpolated",1,6.784,6.716,6.851,0.998,0.998,0.998,"Maui Nui",2
10000,"interpolated",1,6.841,6.773,6.909,1,1,1,"Maui Nui",2
1000,"interpolated",2,4.978,4.928,5.028,0.998,0.998,0.998,"Maui Nui",2
10000,"interpolated",2,4.996,4.945,5.046,1,1,1,"Maui Nui",2
1000,"interpolated",0,18.972,18.793,19.152,0.999,0.998,0.999,"O'ahu Island",2
10000,"interpolated",0,19.995,19.966,20.025,1,1,1,"O'ahu Island",2
1000,"interpolated",1,6.469,6.393,6.545,0.999,0.998,0.999,"O'ahu Island",2
10000,"interpolated",1,6.527,6.451,6.604,1,1,1,"O'ahu Island",2
1000,"interpolated",2,4.324,4.27,4.377,0.999,0.999,0.999,"O'ahu Island",2
10000,"interpolated",2,4.337,4.283,4.391,1,1,1,"O'ahu Island",2
1000,"interpolated",0,13.247,13.098,13.395,0.999,0.999,0.999,"Hawai'i Island",3
10000,"interpolated",0,13.998,13.986,14.01,1,1,1,"Hawai'i Island",3
1000,"interpolated",1,2.523,2.483,2.562,0.999,0.999,0.999,"Hawai'i Island",3
