"Iteration","geo_entity2","PlotID","Plot_Area"
1,"Maui Nui",459,168.11
1,"Maui Nui",515,168.11
1,"Maui Nui",350,672.45
1,"Maui Nui",34,1000
1,"Maui Nui",179,1000
1,"Maui Nui",349,504.34
1,"Maui Nui",525,504.34
1,"Maui Nui",178,1000
1,"Maui Nui",343,504.34
1,"Maui Nui",294,1000
2,"Maui Nui",222,1000
2,"Maui Nui",37,1000
2,"Maui Nui",357,504.34
2,"Maui Nui",179,1000
2,"Maui Nui",178,1000
2,"Maui Nui",299,672.45
2,"Maui Nui",350,672.45
2,"Maui Nui",294,1000
2,"Maui Nui",358,504.34
2,"Maui Nui",515,168.11
3,"Maui Nui",345,672.45
3,"Maui Nui",442,336.23
3,"Maui Nui",176,1000
3,"Maui Nui",439,336.23
3,"Maui Nui",179,1000
3,"Maui Nui",177,1000
3,"Maui Nui",178,1000
3,"Maui Nui",459,168.11
3,"Maui Nui",219,1000
3,"Maui Nui",25,1000
4,"Maui Nui",349,504.34
4,"Maui Nui",175,1000
4,"Maui Nui",179,1000
4,"Maui Nui",20,1000
4,"Maui Nui",176,1000
4,"Maui Nui",459,168.11
4,"Maui Nui",142,1000
4,"Maui Nui",299,672.45
4,"Maui Nui",348,672.45
4,"Maui Nui",442,336.23
5,"Maui Nui",34,1000
5,"Maui Nui",358,504.34
5,"Maui Nui",142,1000
5,"Maui Nui",349,504.34
5,"Maui Nui",357,504.34
5,"Maui Nui",20,1000
5,"Maui Nui",177,1000
5,"Maui Nui",30,1000
5,"Maui Nui",525,504.34
5,"Maui Nui",378,672.45
6,"Maui Nui",142,1000
6,"Maui Nui",442,336.23
6,"Maui Nui",525,504.34
6,"Maui Nui",343,504.34
6,"Maui Nui",34,1000
6,"Maui Nui",356,504.34
6,"Maui Nui",35,1000
6,"Maui Nui",349,504.34
6,"Maui Nui",44,1000
6,"Maui Nui",515,168.11
7,"Maui Nui",179,1000
7,"Maui Nui",378,672.45
7,"Maui Nui",30,1000
7,"Maui Nui",180,1000
7,"Maui Nui",525,504.34
7,"Maui Nui",439,336.23
7,"Maui Nui",452,672.45
7,"Maui Nui",356,504.34
7,"Maui Nui",222,1000
7,"Maui Nui",178,1000
8,"Maui Nui",142,1000
8,"Maui Nui",20,1000
8,"Maui Nui",459,168.11
8,"Maui Nui",25,1000
8,"Maui Nui",452,672.45
8,"Maui Nui",356,504.34
8,"Maui Nui",442,336.23
8,"Maui Nui",175,1000
8,"Maui Nui",177,1000
8,"Maui Nui",349,504.34
9,"Maui Nui",525,504.34
9,"Maui Nui",180,1000
9,"Maui Nui",34,1000
9,"Maui Nui",25,1000
9,"Maui Nui",356,504.34
9,"Maui Nui",442,336.23
9,"Maui Nui",459,168.11
9,"Maui Nui",452,672.45
9,"Maui Nui",176,1000
9,"Maui Nui",219,1000
10,"Maui Nui",35,1000
10,"Maui Nui",44,1000
10,"Maui Nui",349,504.34
10,"Maui Nui",219,1000
10,"Maui Nui",356,504.34
10,"Maui Nui",175,1000
10,"Maui Nui",452,672.45
10,"Maui Nui",178,1000
10,"Maui Nui",515,168.11
10,"Maui Nui",525,504.34
11,"Maui Nui",179,1000
11,"Maui Nui",442,336.23
11,"Maui Nui",299,672.45
11,"Maui Nui",358,504.34
11,"Maui Nui",343,504.34
11,"Maui Nui",37,1000
11,"Maui Nui",219,1000
11,"Maui Nui",377,168.11
11,"Maui Nui",20,1000
11,"Maui Nui",294,1000
12,"Maui Nui",357,504.34
12,"Maui Nui",442,336.23
12,"Maui Nui",142,1000
12,"Maui Nui",350,672.45
