"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,15.722,15.613,15.832,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",0,16,16,16,1,1,1,"Hawai'i Island",1
1000,"interpolated",1,7.236,7.148,7.323,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",1,7.286,7.198,7.375,1,1,1,"Hawai'i Island",1
1000,"interpolated",2,5.486,5.412,5.561,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",2,5.508,5.433,5.583,1,1,1,"Hawai'i Island",1
1000,"interpolated",0,24.262,23.676,24.847,0.996,0.996,0.997,"Kaua'i Island",1
10000,"interpolated",0,27,26.975,27.025,1,1,1,"Kaua'i Island",1
1000,"interpolated",1,5.944,5.799,6.089,0.996,0.996,0.997,"Kaua'i Island",1
10000,"interpolated",1,6.02,5.873,6.166,1,1,1,"Kaua'i Island",1
1000,"interpolated",2,3.714,3.622,3.805,0.996,0.996,0.997,"Kaua'i Island",1
10000,"interpolated",2,3.723,3.631,3.815,1,1,1,"Kaua'i Island",1
1000,"interpolated",0,14.465,14.177,14.754,0.998,0.998,0.998,"Maui Nui",1
10000,"interpolated",0,16,15.997,16.002,1,1,1,"Maui Nui",1
1000,"interpolated",1,5.489,5.391,5.588,0.998,0.998,0.998,"Maui Nui",1
10000,"interpolated",1,5.529,5.43,5.628,1,1,1,"Maui Nui",1
1000,"interpolated",2,4.064,4.001,4.126,0.998,0.998,0.998,"Maui Nui",1
10000,"interpolated",2,4.075,4.012,4.138,1,1,1,"Maui Nui",1
1000,"interpolated",0,21.861,21.406,22.316,0.997,0.997,0.998,"O'ahu Island",1
10000,"interpolated",0,24,23.999,24.001,1,1,1,"O'ahu Island",1
1000,"interpolated",1,6.753,6.606,6.899,0.997,0.997,0.998,"O'ahu Island",1
10000,"interpolated",1,6.828,6.68,6.976,1,1,1,"O'ahu Island",1
1000,"interpolated",2,4.719,4.621,4.818,0.997,0.997,0.998,"O'ahu Island",1
10000,"interpolated",2,4.735,4.636,4.834,1,1,1,"O'ahu Island",1
1000,"interpolated",0,13.118,12.948,13.287,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",0,13.989,13.9,14.078,1,1,1,"Hawai'i Island",2
1000,"interpolated",1,5.599,5.519,5.678,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",1,5.632,5.552,5.712,1,1,1,"Hawai'i Island",2
1000,"interpolated",2,3.847,3.789,3.906,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",2,3.857,3.799,3.916,1,1,1,"Hawai'i Island",2
1000,"interpolated",0,24.758,24.494,25.021,0.999,0.999,1,"Kaua'i Island",2
4382,"interpolated",0,25,25,25,1,1,1,"Kaua'i Island",2
4383,"observed",0,25,25,25,1,1,1,"Kaua'i Island",2
4384,"extrapolated",0,25,25,25,1,1,1,"Kaua'i Island",2
10000,"extrapolated",0,25,25,25,1,1,1,"Kaua'i Island",2
1000,"interpolated",1,9.397,8.937,9.858,0.999,0.999,1,"Kaua'i Island",2
4382,"interpolated",1,9.488,9.024,9.952,1,1,1,"Kaua'i Island",2
4383,"observed",1,9.488,9.024,9.952,1,1,1,"Kaua'i Island",2
4384,"extrapolated",1,9.488,9.024,9.952,1,1,1,"Kaua'i Island",2
10000,"extrapolated",1,9.507,9.042,9.972,1,1,1,"Kaua'i Island",2
1000,"interpolated",2,4.989,4.742,5.237,0.999,0.999,1,"Kaua'i Island",2
4382,"interpolated",2,5.005,4.755,5.254,1,1,1,"Kaua'i Island",2
4383,"observed",2,5.005,4.755,5.254,1,1,1,"Kaua'i Island",2
4384,"extrapolated",2,5.005,4.755,5.254,1,1,1,"Kaua'i Island",2
10000,"extrapolated",2,5.007,4.758,5.257,1,1,1,"Kaua'i Island",2
1000,"interpolated",0,14.619,14.296,14.942,0.998,0.998,0.998,"Maui Nui",2
10000,"interpolated",0,16.994,16.945,17.043,1,1,1,"Maui Nui",2
1000,"interpolated",1,4.919,4.856,4.981,0.998,0.998,0.998,"Maui Nui",2
10000,"interpolated",1,4.956,4.893,5.019,1,1,1,"Maui Nui",2
1000,"interpolated",2,3.606,3.557,3.655,0.998,0.998,0.998,"Maui Nui",2
10000,"interpolated",2,3.615,3.566,3.664,1,1,1,"Maui Nui",2
1000,"interpolated",0,18.765,18.474,19.056,0.999,0.999,1,"O'ahu Island",2
4894,"interpolated",0,19,19,19,1,1,1,"O'ahu Island",2
4895,"observed",0,19,19,19,1,1,1,"O'ahu Island",2
4896,"extrapolated",0,19,19,19,1,1,1,"O'ahu Island",2
10000,"extrapolated",0,19,19,19,1,1,1,"O'ahu Island",2
1000,"interpolated",1,6.536,6.317,6.754,0.999,0.999,1,"O'ahu Island",2
4894,"interpolated",1,6.585,6.365,6.805,1,1,1,"O'ahu Island",2
4895,"observed",1,6.585,6.365,6.805,1,1,1,"O'ahu Island",2
4896,"extrapolated",1,6.585,6.365,6.805,1,1,1,"O'ahu Island",2
10000,"extrapolated",1,6.593,6.373,6.813,1,1,1,"O'ahu Island",2
1000,"interpolated",2,4.493,4.356,4.631,0.999,0.999,1,"O'ahu Island",2
4894,"interpolated",2,4.506,4.367,4.644,1,1,1,"O'ahu Island",2
4895,"observed",2,4.506,4.367,4.644,1,1,1,"O'ahu Island",2
4896,"extrapolated",2,4.506,4.367,4.644,1,1,1,"O'ahu Island",2
10000,"extrapolated",2,4.507,4.369,4.646,1,1,1,"O'ahu Island",2
1000,"interpolated",0,11.926,11.844,12.007,1,1,1,"Hawai'i Island",3
10000,"interpolated",0,12,12,12,1,1,1,"Hawai'i Island",3
1000,"interpolated",1,5.889,5.776,6.002,1,1,1,"Hawai'i Island",3
10000,"interpolated",1,5.919,5.805,6.032,1,1,1,"Hawai'i Island",3
1000,"interpolated",2,3.802,3.726,3.878,1,1,1,"Hawai'i Island",3
10000,"interpolated",2,3.811,3.735,3.888,1,1,1,"Hawai'i Island",3
1000,"interpolated",0,31.212,30.404,32.02,0.994,0.993,0.994,"Kaua'i Island",3
10000,"interpolated",0,36,36,36,1,1,1,"Kaua'i Island",3
1000,"interpolated",1,6.788,6.573,7.004,0.994,0.993,0.994,"Kaua'i Island",3
10000,"interpolated",1,6.907,6.688,7.126,1,1,1,"Kaua'i Island",3
1000,"interpolated",2,3.355,3.245,3.465,0.994,0.993,0.994,"Kaua'i Island",3
10000,"interpolated",2,3.362,3.251,3.473,1,1,1,"Kaua'i Island",3
1000,"interpolated",0,10.191,10.002,10.381,0.999,0.999,0.999,"Maui Nui",3
10000,"interpolated",0,10.994,10.881,11.107,1,1,1,"Maui Nui",3
1000,"interpolated",1,4.052,4.005,4.1,0.999,0.999,0.999,"Maui Nui",3
10000,"interpolated",1,4.071,4.023,4.119,1,1,1,"Maui Nui",3
1000,"interpolated",2,3.022,2.984,3.059,0.999,0.999,0.999,"Maui Nui",3
10000,"interpolated",2,3.027,2.99,3.065,1,1,1,"Maui Nui",3
1000,"interpolated",0,18.222,17.712,18.732,0.996,0.996,0.996,"O'ahu Island",3
10000,"interpolated",0,21.999,21.966,22.032,1,1,1,"O'ahu Island",3
1000,"interpolated",1,3.618,3.555,3.681,0.996,0.996,0.996,"O'ahu Island",3
10000,"interpolated",1,3.656,3.592,3.719,1,1,1,"O'ahu Island",3
1000,"interpolated",2,2.258,2.222,2.294,0.996,0.996,0.996,"O'ahu Island",3
10000,"interpolated",2,2.26,2.224,2.296,1,1,1,"O'ahu Island",3
1000,"interpolated",0,8.859,8.776,8.942,1,1,1,"Hawai'i Island",4
10000,"interpolated",0,9,9,9,1,1,1,"Hawai'i Island",4
1000,"interpolated",1,3.797,3.755,3.838,1,1,1,"Hawai'i Island",4
10000,"interpolated",1,3.811,3.769,3.853,1,1,1,"Hawai'i Island",4
1000,"interpolated",2,2.764,2.721,2.807,1,1,1,"Hawai'i Island",4
10000,"interpolated",2,2.769,2.725,2.812,1,1,1,"Hawai'i Island",4
1000,"interpolated",0,40.048,39.439,40.656,0.997,0.997,0.998,"Kaua'i Island",4
4666,"interpolated",0,41,41,41,1,1,1,"Kaua'i Island",4
4667,"observed",0,41,41,41,1,1,1,"Kaua'i Island",4
4668,"extrapolated",0,41,41,41,1,1,1,"Kaua'i Island",4
10000,"extrapolated",0,41,41,41,1,1,1,"Kaua'i Island",4
1000,"interpolated",1,12.795,12.179,13.41,0.997,0.997,0.998,"Kaua'i Island",4
4666,"interpolated",1,13.01,12.385,13.635,1,1,1,"Kaua'i Island",4
4667,"observed",1,13.01,12.385,13.635,1,1,1,"Kaua'i Island",4
4668,"extrapolated",1,13.01,12.385,13.635,1,1,1,"Kaua'i Island",4
10000,"extrapolated",1,13.048,12.421,13.675,1,1,1,"Kaua'i Island",4
1000,"interpolated",2,5.507,5.131,5.882,0.997,0.997,0.998,"Kaua'i Island",4
4666,"interpolated",2,5.526,5.148,5.905,1,1,1,"Kaua'i Island",4
4667,"observed",2,5.526,5.148,5.905,1,1,1,"Kaua'i Island",4
4668,"extrapolated",2,5.526,5.148,5.905,1,1,1,"Kaua'i Island",4
10000,"extrapolated",2,5.529,5.15,5.908,1,1,1,"Kaua'i Island",4
1000,"interpolated",0,10.069,9.834,10.304,0.999,0.999,0.999,"Maui Nui",4
10000,"interpolated",0,10.999,10.96,11.038,1,1,1,"Maui Nui",4
1000,"interpolated",1,4.442,4.375,4.51,0.999,0.999,0.999,"Maui Nui",4
10000,"interpolated",1,4.463,4.395,4.532,1,1,1,"Maui Nui",4
1000,"interpolated",2,3.009,2.939,3.078,0.999,0.999,0.999,"Maui Nui",4
10000,"interpolated",2,3.014,2.945,3.084,1,1,1,"Maui Nui",4
1000,"interpolated",0,19.919,19.59,20.249,0.998,0.998,0.998,"O'ahu Island",4
9880,"interpolated",0,21,21,21,1,1,1,"O'ahu Island",4
9881,"observed",0,21,21,21,1,1,1,"O'ahu Island",4
9882,"extrapolated",0,21,21,21,1,1,1,"O'ahu Island",4
