"geo_entity2","SPP_CODE3A","RelAbund","Rank","Rank_N","iteration","fit","se.fit","uprS","lwrS"
"1","Maui Nui","POLOAH",0.0009065361254646,1,0.05,"1",0.0733263428052874,0.0100841965897463,0.102552257577227,0.0441004280333482
"2","Maui Nui","RAUSAN",0.0009065361254646,2,0.1,"1",0.0733263428052874,0.0100841965897463,0.102552257577227,0.0441004280333482
"3","Maui Nui","ILEANO",0.0018130722509292,3,0.15,"1",0.154648260100515,0.00998290823893005,0.183580622016557,0.125715898184472
"4","Maui Nui","PLEAUW",0.0018130722509292,4,0.2,"1",0.154648260100515,0.00998290823893005,0.183580622016557,0.125715898184472
"5","Maui Nui","PSYSPP",0.0018130722509292,5,0.25,"1",0.154648260100515,0.00998290823893005,0.183580622016557,0.125715898184472
"6","Maui Nui","REYSAN",0.0018130722509292,6,0.3,"1",0.154648260100515,0.00998290823893005,0.183580622016557,0.125715898184472
"7","Maui Nui","WIKMON",0.0018130722509292,7,0.35,"1",0.154648260100515,0.00998290823893005,0.183580622016557,0.125715898184472
"8","Maui Nui","SYZSAN",0.0027196083763938,8,0.4,"1",0.224286246619078,0.00887548054257268,0.250009072982954,0.198563420255202
"9","Maui Nui","SADPAL",0.0036261445018584,9,0.45,"1",0.279612583413377,0.00877650360996358,0.305048555849816,0.254176610976939
"10","Maui Nui","MYRLES",0.004532680627323,10,0.5,"1",0.324008551969688,0.00874023475829395,0.349339410393489,0.298677693545887
"11","Maui Nui","MELCLU",0.0054392167527876,11,0.55,"1",0.360949730367683,0.00884323113679248,0.386579091835631,0.335320368899735
"12","Maui Nui","POUSAN",0.009065361254646,12,0.6,"1",0.465374236021216,0.00907234069667798,0.491667600457676,0.439080871584756
"13","Maui Nui","DIOSAN",0.0126915057565044,13,0.65,"1",0.526734901013419,0.00949460968154232,0.554252081075908,0.49921772095093
"14","Maui Nui","ACAKOA",0.0199437947602212,14,0.7,"1",0.584838116460088,0.0100211378494919,0.613881275040009,0.555794957880167
"15","Maui Nui","CHETRI",0.0444202701477654,15,0.75,"1",0.657409504868106,0.00973580341003799,0.685625710112205,0.629193299624007
"16","Maui Nui","HEDHIL",0.0698939352733206,16,0.8,"1",0.725639367584419,0.00909889376304281,0.752009687844538,0.699269047324299
"17","Maui Nui","CIBGLA",0.09065361254646,17,0.85,"1",0.774547620108706,0.00889112428892002,0.800315785017243,0.748779455200168
"18","Maui Nui","CIBMEN",0.101532046052035,18,0.9,"1",0.796333090952637,0.00887399871806776,0.822051622707984,0.770614559197291
"19","Maui Nui","ANTPLA",0.146133623424893,19,0.95,"1",0.861527239398518,0.00946188657329386,0.888949581685461,0.834104897111576
"20","Maui Nui","METPOL",0.478469767020216,20,1,"1",0.988124535667076,0.0102542539530183,1.01784330893906,0.958405762395097
"21","Maui Nui","ILEANO",0.0045315509233035,1,0.111111111111111,"2",0.323958442883805,0.00874019884819243,0.349289197233319,0.29862768853429
"22","Maui Nui","SADSPP",0.0045315509233035,2,0.222222222222222,"2",0.323958442883805,0.00874019884819243,0.349289197233319,0.29862768853429
"23","Maui Nui","PSYHAW",0.00668403761187266,3,0.333333333333333,"2",0.4032806777767,0.00903013630893554,0.429451725890964,0.377109629662436
"24","Maui Nui","CIBGLA",0.0135946527699105,4,0.444444444444444,"2",0.53752414049688,0.00962532908435487,0.565420170187263,0.509628110806497
"25","Maui Nui","HEDHIL",0.0269627279936558,5,0.555555555555556,"2",0.611050154793239,0.0102578677362815,0.64077940149468,0.581320908091799
"26","Maui Nui","BROARG",0.087345644046675,6,0.666666666666667,"2",0.7673891410903,0.00891510879774466,0.79322681765547,0.741551464525131
"27","Maui Nui","CHETRI",0.143310297949473,7,0.777777777777778,"2",0.858335020680236,0.00942073632662967,0.885638101745806,0.831031939614666
