"geo_entity2","SPP_CODE3A","RelAbund","Rank","Rank_N","iteration","RankN_pred"
"1","Maui Nui","ILEANO",0.00267183220893728,1,0.0833333333333333,"1",0.336854723233755
"2","Maui Nui","PSYMA2",0.00267183220893728,2,0.166666666666667,"1",0.336854723233755
"3","Maui Nui","SADPAL",0.00267183220893728,3,0.25,"1",0.336854723233755
"4","Maui Nui","MELCLU",0.0033397902611716,4,0.333333333333333,"1",0.384521654269825
"5","Maui Nui","SYZSAN",0.00801549662681184,5,0.416666666666667,"1",0.563146714030699
"6","Maui Nui","ACAKOA",0.0220426157237326,6,0.5,"1",0.672226778477459
"7","Maui Nui","ERYSAN",0.0280542381938414,7,0.583333333333333,"1",0.691357307975689
"8","Maui Nui","PSYODO",0.051499565827266,8,0.666666666666667,"1",0.757469468846078
"9","Maui Nui","CIBMEN",0.106873288357491,9,0.75,"1",0.846125693987997
"10","Maui Nui","CHETRI",0.120232449402178,10,0.833333333333333,"1",0.859391636487367
"11","Maui Nui","CIBGLA",0.259167724266916,11,0.916666666666667,"1",0.941076017319526
"12","Maui Nui","METPOL",0.39275933471378,12,1,"1",0.978104137449186
"13","Maui Nui","DODVIS",0.000516262261228704,1,0.0666666666666667,"2",0.0730017510984458
"14","Maui Nui","SCAGAU",0.000516262261228704,2,0.133333333333333,"2",0.0730017510984458
"15","Maui Nui","MELCLU",0.00154878678368611,3,0.2,"2",0.218359429937741
"16","Maui Nui","ACAKOA",0.00361383582860093,4,0.266666666666667,"2",0.401194232435163
"17","Maui Nui","COPOCH",0.00464636035105834,5,0.333333333333333,"2",0.454210720118227
"18","Maui Nui","PSYMA2",0.00567888487351575,6,0.4,"2",0.496219119868675
"19","Maui Nui","SADSOU",0.00619514713474445,7,0.466666666666667,"2",0.514031888486985
"20","Maui Nui","SYZSAN",0.00671140939597315,8,0.533333333333333,"2",0.529992953279834
"21","Maui Nui","WIKOAH",0.00774393391843056,9,0.6,"2",0.557008789267357
"22","Maui Nui","SADPAL",0.00826019617965927,10,0.666666666666667,"2",0.56836745172145
"23","Maui Nui","STYTAM",0.0165203923593185,11,0.733333333333333,"2",0.650977036648002
"24","Maui Nui","CHETRI",0.0495611770779556,12,0.8,"2",0.752702116592714
"25","Maui Nui","CIBGLA",0.159008776458441,13,0.866666666666667,"2",0.89022117182763
"26","Maui Nui","CIBMEN",0.239545689210119,14,0.933333333333333,"2",0.9333151891465
"27","Maui Nui","METPOL",0.48993288590604,15,1,"2",0.995269932457631
"28","Maui Nui","MYRSAN",0.000470035252643948,1,0.0555555555555556,"3",0.066826380587241
"29","Maui Nui","SYZSAN",0.00141010575793184,2,0.111111111111111,"3",0.199229602065304
"30","Maui Nui","CIBSPP",0.00188014101057579,3,0.166666666666667,"3",0.259967529892725
"31","Maui Nui","SADPAL",0.00188014101057579,4,0.222222222222222,"3",0.259967529892725
"32","Maui Nui","COPRHY",0.0027732079905993,5,0.277777777777778,"3",0.344880945907897
"33","Maui Nui","DIOSAN",0.0027732079905993,6,0.333333333333333,"3",0.344880945907897
"34","Maui Nui","NESSAN",0.0027732079905993,7,0.388888888888889,"3",0.344880945907897
"35","Maui Nui","MYRLES",0.00376028202115159,8,0.444444444444444,"3",0.409578639585719
"36","Maui Nui","ILEANO",0.00564042303172738,9,0.5,"3",0.494812970311959
"37","Maui Nui","PSYHAW",0.00836662749706228,10,0.555555555555556,"3",0.570550488324523
"38","Maui Nui","MELCLU",0.00940070505287897,11,0.611111111111111,"3",0.589261718127396
"39","Maui Nui","ACAKOA",0.0126909518213866,12,0.666666666666667,"3",0.627388936993256
"40","Maui Nui","ERYSAN",0.0197414806110458,13,0.722222222222222,"3",0.664210597866712
"41","Maui Nui","XYLHAW",0.0362397179788484,14,0.777777777777778,"3",0.716170459231923
"42","Maui Nui","CHETRI",0.0799059929494712,15,0.833333333333333,"3",0.812132900738711
"43","Maui Nui","CIBGLA",0.146650998824912,16,0.888888888888889,"3",0.881380470720278
"44","Maui Nui","CIBMEN",0.27262044653349,17,0.944444444444444,"3",0.945945232450499
"45","Maui Nui","METPOL",0.391022326674501,18,1,"3",0.977744551768773
"46","Maui Nui","POLSPP",0.00483062616991728,1,0.125,"4",0.462402485189379
"47","Maui Nui","ACAKOA",0.00724593925487591,2,0.25,"4",0.544743238247888
"48","Maui Nui","ILEANO",0.00784976752611557,3,0.375,"4",0.559445172521416
"49","Maui Nui","CHEFOR",0.0465551597125777,4,0.5,"4",0.74501728417071
"50","Maui Nui","CIBGLA",0.0507215747841314,5,0.625,"4",0.755573837390926
"51","Maui Nui","CHETRI",0.0893665841434696,6,0.75,"4",0.825465373599705
"52","Maui Nui","CIBMEN",0.306744761789747,7,0.875,"4",0.956907571101088
"53","Maui Nui","METPOL",0.486685586619166,8,1,"4",0.994771532360974
"54","Maui Nui","MYRSAN",0.000453309156844968,1,0.0909090909090909,"5",0.0644989198043087
"55","Maui Nui","ILEANO",0.00181323662737987,2,0.181818181818182,"5",0.252055547420036
"56","Maui Nui","MYRLES",0.00226654578422484,3,0.272727272727273,"5",0.301026194661965
"57","Maui Nui","COPOCH",0.00362647325475975,4,0.363636363636364,"5",0.401931280758866
"58","Maui Nui","POLSPP",0.00362647325475975,5,0.454545454545455,"5",0.401931280758866
"59","Maui Nui","ACAKOA",0.0086128739800544,6,0.545454545454545,"5",0.575406240276638
"60","Maui Nui","SADSOU",0.0235720761559383,7,0.636363636363636,"5",0.677246892962321
"61","Maui Nui","CHETRI",0.0698096101541251,8,0.727272727272727,"5",0.795603260141866
"62","Maui Nui","CIBGLA",0.099728014505893,9,0.818181818181818,"5",0.838219537445795
"63","Maui Nui","CIBMEN",0.186763372620127,10,0.909090909090909,"5",0.907553880215068
"64","Maui Nui","METPOL",0.599728014505893,11,1,"5",1.01014663849715
"65","Maui Nui","DODVIS",0.000511770726714432,1,0.0476190476190476,"6",0.0724142794153566
"66","Maui Nui","RAUSAN",0.000511770726714432,2,0.0952380952380952,"6",0.0724142794153566
"67","Maui Nui","SCAGAU",0.000511770726714432,3,0.142857142857143,"6",0.0724142794153566
"68","Maui Nui","SYZSAN",0.000511770726714432,4,0.19047619047619,"6",0.0724142794153566
"69","Maui Nui","MELCLU",0.00102354145342886,5,0.238095238095238,"6",0.142610064421203
"70","Maui Nui","PLEAUW",0.00102354145342886,6,0.285714285714286,"6",0.142610064421203
"71","Maui Nui","REYSAN",0.00102354145342886,7,0.333333333333333,"6",0.142610064421203
"72","Maui Nui","WIKMON",0.00102354145342886,8,0.380952380952381,"6",0.142610064421203
"73","Maui Nui","SADSOU",0.00204708290685773,9,0.428571428571429,"6",0.278644449711467
"74","Maui Nui","COPOCH",0.00460593654042989,10,0.476190476190476,"6",0.452368886281457
"75","Maui Nui","POUSAN",0.00511770726714432,11,0.523809523809524,"6",0.474532906316269
"76","Maui Nui","PSYMA2",0.00562947799385875,12,0.571428571428571,"6",0.494410746528262
"77","Maui Nui","MYRLES",0.00614124872057318,13,0.619047619047619,"6",0.51226176362177
"78","Maui Nui","ILEANO",0.00665301944728762,14,0.666666666666667,"6",0.52827528859889
"79","Maui Nui","DIOSAN",0.00716479017400205,15,0.714285714285714,"6",0.542613498139704
"80","Maui Nui","WIKOAH",0.00767656090071648,16,0.761904761904762,"6",0.555427614728493
"81","Maui Nui","STYTAM",0.0163766632548618,17,0.80952380952381,"6",0.650293406288438
"82","Maui Nui","CIBGLA",0.0798362333674514,18,0.857142857142857,"6",0.812027502570066
