"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"1",1,"interpolated",0,1,1,1,0.251,0.247,0.256,"Maui Nui","1",1.02001246810175
"2",100,"interpolated",0,8.376,8.226,8.527,0.984,0.983,0.985,"Maui Nui","1",8.31903446661933
"3",200,"interpolated",0,9.527,9.324,9.731,0.992,0.991,0.992,"Maui Nui","1",10.1229805702121
"4",300,"interpolated",0,10.215,9.993,10.437,0.994,0.994,0.995,"Maui Nui","1",11.0360684996406
"5",400,"interpolated",0,10.69,10.469,10.911,0.996,0.996,0.996,"Maui Nui","1",11.897340665704
"6",500,"interpolated",0,11.031,10.823,11.239,0.997,0.997,0.997,"Maui Nui","1",12.2840558128155
"7",600,"interpolated",0,11.281,11.092,11.47,0.998,0.998,0.998,"Maui Nui","1",12.8441970205628
"8",700,"interpolated",0,11.465,11.298,11.633,0.998,0.998,0.999,"Maui Nui","1",13.0407000574376
"9",800,"interpolated",0,11.602,11.456,11.748,0.999,0.999,0.999,"Maui Nui","1",13.4124407545958
"10",900,"interpolated",0,11.704,11.579,11.829,0.999,0.999,0.999,"Maui Nui","1",13.567588362846
"11",1000,"interpolated",0,11.78,11.674,11.886,0.999,0.999,1,"Maui Nui","1",13.7833113214636
"12",1,"interpolated",0,1,1,1,0.326,0.321,0.331,"Maui Nui","2",1.02001246810175
"13",100,"interpolated",0,8.224,8.014,8.433,0.972,0.971,0.973,"Maui Nui","2",8.31903446661933
"14",200,"interpolated",0,10.293,10.044,10.543,0.985,0.985,0.986,"Maui Nui","2",10.1229805702121
"15",300,"interpolated",0,11.439,11.187,11.69,0.991,0.991,0.992,"Maui Nui","2",11.0360684996406
"16",400,"interpolated",0,12.132,11.88,12.384,0.995,0.994,0.995,"Maui Nui","2",11.897340665704
"17",500,"interpolated",0,12.584,12.326,12.841,0.996,0.996,0.997,"Maui Nui","2",12.2840558128155
"18",600,"interpolated",0,12.897,12.63,13.164,0.997,0.997,0.998,"Maui Nui","2",12.8441970205628
"19",700,"interpolated",0,13.129,12.851,13.407,0.998,0.998,0.998,"Maui Nui","2",13.0407000574376
"20",800,"interpolated",0,13.31,13.021,13.598,0.998,0.998,0.999,"Maui Nui","2",13.4124407545958
"21",900,"interpolated",0,13.457,13.157,13.756,0.999,0.998,0.999,"Maui Nui","2",13.567588362846
"22",1000,"interpolated",0,13.581,13.272,13.889,0.999,0.999,0.999,"Maui Nui","2",13.7833113214636
"23",1,"interpolated",0,1,1,1,0.257,0.254,0.261,"Maui Nui","3",1.02001246810175
"24",100,"interpolated",0,9.741,9.579,9.903,0.969,0.968,0.97,"Maui Nui","3",8.31903446661933
"25",200,"interpolated",0,12.03,11.816,12.243,0.983,0.982,0.984,"Maui Nui","3",10.1229805702121
"26",300,"interpolated",0,13.389,13.144,13.634,0.989,0.989,0.99,"Maui Nui","3",11.0360684996406
"27",400,"interpolated",0,14.312,14.049,14.576,0.992,0.992,0.993,"Maui Nui","3",11.897340665704
"28",500,"interpolated",0,14.984,14.712,15.256,0.994,0.994,0.994,"Maui Nui","3",12.2840558128155
"29",600,"interpolated",0,15.493,15.218,15.767,0.996,0.995,0.996,"Maui Nui","3",12.8441970205628
"30",700,"interpolated",0,15.888,15.615,16.162,0.997,0.996,0.997,"Maui Nui","3",13.0407000574376
"31",800,"interpolated",0,16.201,15.932,16.471,0.997,0.997,0.997,"Maui Nui","3",13.4124407545958
"32",900,"interpolated",0,16.453,16.187,16.718,0.998,0.998,0.998,"Maui Nui","3",13.567588362846
"33",1000,"interpolated",0,16.657,16.396,16.917,0.998,0.998,0.998,"Maui Nui","3",13.7833113214636
"34",1,"interpolated",0,1,1,1,0.344,0.338,0.35,"Maui Nui","4",1.02001246810175
"35",100,"interpolated",0,6.435,6.321,6.549,0.989,0.989,0.99,"Maui Nui","4",8.31903446661933
"36",200,"interpolated",0,7.186,7.066,7.307,0.995,0.995,0.995,"Maui Nui","4",10.1229805702121
"37",300,"interpolated",0,7.567,7.467,7.666,0.997,0.997,0.998,"Maui Nui","4",11.0360684996406
"38",400,"interpolated",0,7.765,7.688,7.843,0.999,0.998,0.999,"Maui Nui","4",11.897340665704
"39",500,"interpolated",0,7.871,7.813,7.929,0.999,0.999,0.999,"Maui Nui","4",12.2840558128155
"40",600,"interpolated",0,7.928,7.886,7.971,1,0.999,1,"Maui Nui","4",12.8441970205628
"41",700,"interpolated",0,7.96,7.928,7.991,1,1,1,"Maui Nui","4",13.0407000574376
"42",800,"interpolated",0,7.977,7.955,7.999,1,1,1,"Maui Nui","4",13.4124407545958
"43",900,"interpolated",0,7.987,7.971,8.003,1,1,1,"Maui Nui","4",13.567588362846
"44",1000,"interpolated",0,7.992,7.981,8.004,1,1,1,"Maui Nui","4",13.7833113214636
"45",1,"interpolated",0,1,1,1,0.41,0.404,0.416,"Maui Nui","5",1.02001246810175
"46",100,"interpolated",0,6.512,6.394,6.63,0.985,0.985,0.986,"Maui Nui","5",8.31903446661933
"47",200,"interpolated",0,7.611,7.444,7.777,0.992,0.991,0.992,"Maui Nui","5",10.1229805702121
"48",300,"interpolated",0,8.305,8.112,8.497,0.994,0.994,0.995,"Maui Nui","5",11.0360684996406
"49",400,"interpolated",0,8.795,8.588,9.001,0.996,0.996,0.996,"Maui Nui","5",11.897340665704
"50",500,"interpolated",0,9.157,8.943,9.371,0.997,0.997,0.997,"Maui Nui","5",12.2840558128155
"51",600,"interpolated",0,9.433,9.215,9.652,0.998,0.997,0.998,"Maui Nui","5",12.8441970205628
"52",700,"interpolated",0,9.649,9.427,9.87,0.998,0.998,0.998,"Maui Nui","5",13.0407000574376
"53",800,"interpolated",0,9.819,9.595,10.043,0.998,0.998,0.999,"Maui Nui","5",13.4124407545958
"54",900,"interpolated",0,9.956,9.729,10.184,0.999,0.999,0.999,"Maui Nui","5",13.567588362846
"55",1000,"interpolated",0,10.068,9.839,10.298,0.999,0.999,0.999,"Maui Nui","5",13.7833113214636
"56",1,"interpolated",0,1,1,1,0.307,0.303,0.312,"Maui Nui","6",1.02001246810175
"57",100,"interpolated",0,8.79,8.585,8.995,0.966,0.965,0.968,"Maui Nui","6",8.31903446661933
"58",200,"interpolated",0,11.364,11.097,11.632,0.98,0.98,0.981,"Maui Nui","6",10.1229805702121
"59",300,"interpolated",0,12.953,12.651,13.256,0.987,0.986,0.988,"Maui Nui","6",11.0360684996406
