"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Hawai'i Island",1000,"interpolated",0,0.999,8.779,8.537,9.021,1
"Hawai'i Island",1000,"interpolated",1,0.999,2.585,2.548,2.623,1
"Hawai'i Island",1000,"interpolated",2,0.999,1.895,1.867,1.923,1
"Kaua'i Island",1000,"interpolated",0,0.995,28.377,27.815,28.939,1
"Kaua'i Island",1000,"interpolated",1,0.995,7.267,7.132,7.402,1
"Kaua'i Island",1000,"interpolated",2,0.995,4.817,4.745,4.889,1
"Maui Nui",1000,"interpolated",0,0.996,19.609,19.11,20.108,1
"Maui Nui",1000,"interpolated",1,0.996,5.294,5.21,5.377,1
"Maui Nui",1000,"interpolated",2,0.996,3.582,3.524,3.639,1
"O'ahu Island",1000,"interpolated",0,0.996,21.112,20.552,21.672,1
"O'ahu Island",1000,"interpolated",1,0.996,7.398,7.28,7.516,1
"O'ahu Island",1000,"interpolated",2,0.996,5.715,5.625,5.804,1
"Hawai'i Island",1000,"interpolated",0,0.999,11.461,11.319,11.603,2
"Hawai'i Island",1000,"interpolated",1,0.999,2.931,2.888,2.973,2
"Hawai'i Island",1000,"interpolated",2,0.999,1.987,1.961,2.014,2
"Kaua'i Island",1000,"interpolated",0,0.992,35.151,34.414,35.887,2
"Kaua'i Island",1000,"interpolated",1,0.992,7.157,6.98,7.334,2
"Kaua'i Island",1000,"interpolated",2,0.992,4.161,4.082,4.24,2
"Maui Nui",1000,"interpolated",0,0.998,11.036,10.711,11.361,2
"Maui Nui",1000,"interpolated",1,0.998,3.288,3.247,3.329,2
"Maui Nui",1000,"interpolated",2,0.998,2.269,2.24,2.297,2
"O'ahu Island",1000,"interpolated",0,0.995,16.471,15.881,17.062,2
"O'ahu Island",1000,"interpolated",1,0.995,4.468,4.402,4.534,2
"O'ahu Island",1000,"interpolated",2,0.995,3.041,2.991,3.091,2
"Hawai'i Island",1000,"interpolated",0,1,8.928,8.886,8.97,3
"Hawai'i Island",1000,"interpolated",1,1,3.161,3.11,3.211,3
"Hawai'i Island",1000,"interpolated",2,1,2.337,2.296,2.377,3
"Kaua'i Island",1000,"interpolated",0,0.992,35.151,34.298,36.003,3
"Kaua'i Island",1000,"interpolated",1,0.992,7.157,6.992,7.323,3
"Kaua'i Island",1000,"interpolated",2,0.992,4.161,4.086,4.235,3
"Maui Nui",1000,"interpolated",0,0.996,19.445,18.976,19.914,3
"Maui Nui",1000,"interpolated",1,0.996,4.489,4.414,4.565,3
"Maui Nui",1000,"interpolated",2,0.996,2.674,2.63,2.717,3
"O'ahu Island",1000,"interpolated",0,0.996,18.9,18.341,19.459,3
"O'ahu Island",1000,"interpolated",1,0.996,3.672,3.596,3.748,3
"O'ahu Island",1000,"interpolated",2,0.996,2.278,2.239,2.318,3
"Hawai'i Island",1000,"interpolated",0,0.998,12.632,12.253,13.01,4
"Hawai'i Island",1000,"interpolated",1,0.998,3.191,3.14,3.241,4
"Hawai'i Island",1000,"interpolated",2,0.998,2.087,2.057,2.116,4
"Kaua'i Island",1000,"interpolated",0,0.994,35.808,35.056,36.56,4
"Kaua'i Island",1000,"interpolated",1,0.994,8.044,7.838,8.251,4
"Kaua'i Island",1000,"interpolated",2,0.994,4.744,4.636,4.852,4
"Maui Nui",1000,"interpolated",0,0.997,18.335,17.907,18.764,4
"Maui Nui",1000,"interpolated",1,0.997,5.357,5.269,5.444,4
"Maui Nui",1000,"interpolated",2,0.997,3.578,3.508,3.647,4
"O'ahu Island",1000,"interpolated",0,0.996,20.706,20.176,21.237,4
"O'ahu Island",1000,"interpolated",1,0.996,3.093,3.025,3.16,4
"O'ahu Island",1000,"interpolated",2,0.996,2.079,2.046,2.113,4
"Hawai'i Island",1000,"interpolated",0,0.998,10.798,10.481,11.115,5
"Hawai'i Island",1000,"interpolated",1,0.998,3.159,3.12,3.197,5
"Hawai'i Island",1000,"interpolated",2,0.998,2.555,2.533,2.578,5
"Kaua'i Island",1000,"interpolated",0,0.993,35.76,35.028,36.492,5
"Kaua'i Island",1000,"interpolated",1,0.993,7.677,7.511,7.843,5
"Kaua'i Island",1000,"interpolated",2,0.993,4.391,4.294,4.487,5
"Maui Nui",1000,"interpolated",0,0.998,17.76,17.376,18.144,5
"Maui Nui",1000,"interpolated",1,0.998,4.418,4.333,4.504,5
"Maui Nui",1000,"interpolated",2,0.998,2.453,2.405,2.5,5
"O'ahu Island",1000,"interpolated",0,0.997,15.695,15.346,16.045,5
"O'ahu Island",1000,"interpolated",1,0.997,4.46,4.381,4.539,5
"O'ahu Island",1000,"interpolated",2,0.997,3.045,2.993,3.096,5
"Hawai'i Island",1000,"interpolated",0,0.999,10.129,9.971,10.286,6
"Hawai'i Island",1000,"interpolated",1,0.999,3.668,3.63,3.706,6
"Hawai'i Island",1000,"interpolated",2,0.999,2.595,2.565,2.625,6
"Kaua'i Island",1000,"interpolated",0,0.993,35.474,34.667,36.281,6
"Kaua'i Island",1000,"interpolated",1,0.993,8.861,8.653,9.068,6
"Kaua'i Island",1000,"interpolated",2,0.993,5.465,5.351,5.579,6
"Maui Nui",1000,"interpolated",0,0.997,22.453,22.112,22.794,6
"Maui Nui",1000,"interpolated",1,0.997,5.902,5.785,6.018,6
"Maui Nui",1000,"interpolated",2,0.997,3.502,3.418,3.585,6
"O'ahu Island",1000,"interpolated",0,0.998,14.45,14.029,14.871,6
"O'ahu Island",1000,"interpolated",1,0.998,5.281,5.203,5.36,6
"O'ahu Island",1000,"interpolated",2,0.998,4.363,4.303,4.423,6
"Hawai'i Island",1000,"interpolated",0,0.998,13.374,12.972,13.776,7
"Hawai'i Island",1000,"interpolated",1,0.998,3.581,3.523,3.64,7
"Hawai'i Island",1000,"interpolated",2,0.998,2.701,2.67,2.733,7
"Kaua'i Island",1000,"interpolated",0,0.992,34.538,33.688,35.387,7
"Kaua'i Island",1000,"interpolated",1,0.992,8.027,7.868,8.186,7
"Kaua'i Island",1000,"interpolated",2,0.992,5.213,5.129,5.296,7
"Maui Nui",1000,"interpolated",0,0.998,15.888,15.562,16.214,7
"Maui Nui",1000,"interpolated",1,0.998,4.708,4.647,4.77,7
"Maui Nui",1000,"interpolated",2,0.998,3.39,3.346,3.433,7
"O'ahu Island",1000,"interpolated",0,0.996,14.055,13.458,14.651,7
"O'ahu Island",1000,"interpolated",1,0.996,3.906,3.851,3.961,7
"O'ahu Island",1000,"interpolated",2,0.996,2.755,2.712,2.798,7
