"Iteration","geo_entity2","PlotID","Plot_Area"
1,"O'ahu Island",229,1000
1,"O'ahu Island",344,672.45
1,"O'ahu Island",342,672.45
1,"O'ahu Island",1,1000
1,"O'ahu Island",461,336.23
1,"O'ahu Island",296,1000
1,"O'ahu Island",438,672.45
1,"O'ahu Island",300,672.45
1,"O'ahu Island",143,1000
1,"O'ahu Island",314,672.45
2,"O'ahu Island",342,672.45
2,"O'ahu Island",300,672.45
2,"O'ahu Island",173,1000
2,"O'ahu Island",229,1000
2,"O'ahu Island",1,1000
2,"O'ahu Island",288,1000
2,"O'ahu Island",461,336.23
2,"O'ahu Island",438,672.45
2,"O'ahu Island",437,504.34
2,"O'ahu Island",141,1000
3,"O'ahu Island",359,336.23
3,"O'ahu Island",438,672.45
3,"O'ahu Island",173,1000
3,"O'ahu Island",314,672.45
3,"O'ahu Island",285,1000
3,"O'ahu Island",288,1000
3,"O'ahu Island",300,672.45
3,"O'ahu Island",344,672.45
3,"O'ahu Island",320,336.23
3,"O'ahu Island",141,1000
4,"O'ahu Island",296,1000
4,"O'ahu Island",319,672.45
4,"O'ahu Island",438,672.45
4,"O'ahu Island",314,672.45
4,"O'ahu Island",342,672.45
4,"O'ahu Island",300,672.45
4,"O'ahu Island",288,1000
4,"O'ahu Island",437,504.34
4,"O'ahu Island",173,1000
4,"O'ahu Island",320,336.23
5,"O'ahu Island",50,1000
5,"O'ahu Island",342,672.45
5,"O'ahu Island",173,1000
5,"O'ahu Island",461,336.23
5,"O'ahu Island",1,1000
5,"O'ahu Island",359,336.23
5,"O'ahu Island",285,1000
5,"O'ahu Island",437,504.34
5,"O'ahu Island",319,672.45
5,"O'ahu Island",288,1000
6,"O'ahu Island",320,336.23
6,"O'ahu Island",344,672.45
6,"O'ahu Island",141,1000
6,"O'ahu Island",296,1000
6,"O'ahu Island",288,1000
6,"O'ahu Island",285,1000
6,"O'ahu Island",359,336.23
6,"O'ahu Island",50,1000
6,"O'ahu Island",143,1000
6,"O'ahu Island",300,672.45
7,"O'ahu Island",461,336.23
7,"O'ahu Island",314,672.45
7,"O'ahu Island",437,504.34
7,"O'ahu Island",229,1000
7,"O'ahu Island",141,1000
7,"O'ahu Island",319,672.45
7,"O'ahu Island",285,1000
7,"O'ahu Island",300,672.45
7,"O'ahu Island",173,1000
7,"O'ahu Island",359,336.23
8,"O'ahu Island",437,504.34
8,"O'ahu Island",359,336.23
8,"O'ahu Island",173,1000
8,"O'ahu Island",296,1000
8,"O'ahu Island",342,672.45
8,"O'ahu Island",438,672.45
8,"O'ahu Island",461,336.23
8,"O'ahu Island",143,1000
8,"O'ahu Island",300,672.45
8,"O'ahu Island",344,672.45
9,"O'ahu Island",438,672.45
9,"O'ahu Island",229,1000
9,"O'ahu Island",141,1000
9,"O'ahu Island",437,504.34
9,"O'ahu Island",50,1000
9,"O'ahu Island",320,336.23
9,"O'ahu Island",288,1000
9,"O'ahu Island",342,672.45
9,"O'ahu Island",359,336.23
9,"O'ahu Island",300,672.45
10,"O'ahu Island",141,1000
10,"O'ahu Island",320,336.23
10,"O'ahu Island",173,1000
10,"O'ahu Island",314,672.45
10,"O'ahu Island",300,672.45
10,"O'ahu Island",359,336.23
10,"O'ahu Island",143,1000
10,"O'ahu Island",296,1000
10,"O'ahu Island",461,336.23
10,"O'ahu Island",319,672.45
11,"O'ahu Island",314,672.45
11,"O'ahu Island",437,504.34
11,"O'ahu Island",344,672.45
11,"O'ahu Island",342,672.45
11,"O'ahu Island",50,1000
11,"O'ahu Island",1,1000
11,"O'ahu Island",461,336.23
11,"O'ahu Island",359,336.23
11,"O'ahu Island",319,672.45
11,"O'ahu Island",229,1000
12,"O'ahu Island",320,336.23
12,"O'ahu Island",288,1000
12,"O'ahu Island",344,672.45
12,"O'ahu Island",296,1000
12,"O'ahu Island",285,1000
12,"O'ahu Island",437,504.34
12,"O'ahu Island",342,672.45
12,"O'ahu Island",438,672.45
12,"O'ahu Island",314,672.45
12,"O'ahu Island",229,1000
13,"O'ahu Island",50,1000
13,"O'ahu Island",438,672.45
13,"O'ahu Island",285,1000
13,"O'ahu Island",296,1000
13,"O'ahu Island",319,672.45
13,"O'ahu Island",461,336.23
13,"O'ahu Island",143,1000
13,"O'ahu Island",314,672.45
13,"O'ahu Island",1,1000
13,"O'ahu Island",344,672.45
14,"O'ahu Island",359,336.23
14,"O'ahu Island",344,672.45
14,"O'ahu Island",437,504.34
14,"O'ahu Island",300,672.45
14,"O'ahu Island",143,1000
14,"O'ahu Island",296,1000
14,"O'ahu Island",50,1000
