"geo_entity2","Partition","Mean","Lower","Upper"
"Hawai'i Island","adjr2_env",0.0999302028797991,0.0514256562482086,0.147247853335174
"Hawai'i Island","adjr2_env_space",0.0663821765840347,0.00119249930564976,0.133152147169673
"Hawai'i Island","adjr2_space",0.0618356891562529,0.00723015174956033,0.113772179378078
"Kaua'i Island","adjr2_env",0.157536539674336,0.109830098669433,0.208688341652932
"Kaua'i Island","adjr2_env_space",0.171046004541358,0.103993436828022,0.236557568849944
"Kaua'i Island","adjr2_space",0.257436593033776,0.208165358730279,0.308309256450381
"Maui Nui","adjr2_env",0.105133496312168,0.0592425409870278,0.151464843164404
"Maui Nui","adjr2_env_space",0.241734395111357,0.158674326622492,0.327261888453597
"Maui Nui","adjr2_space",0.195513102468975,0.140621130549457,0.250827382767566
"O'ahu Island","adjr2_env",0.0947328573335363,0.0468187547638504,0.146913185152651
"O'ahu Island","adjr2_env_space",0.0466102166612868,-0.0262715040208066,0.119498911136289
"O'ahu Island","adjr2_space",-0.00746625686098873,-0.0450883109394327,0.0344217452984797
