"geo_entity2","index","value","PlotID","Iteration"
"Hawai'i Island","beta_S",2.25,"16",1
"Hawai'i Island","beta_S",9,"52",1
"Hawai'i Island","beta_S",4.5,"77",1
"Hawai'i Island","beta_S",4.5,"115",1
"Hawai'i Island","beta_S",9,"216",1
"Hawai'i Island","beta_S",9,"334",1
"Hawai'i Island","beta_S",4.5,"336",1
"Hawai'i Island","beta_S",2.25,"419",1
"Hawai'i Island","beta_S",9,"469",1
"Hawai'i Island","beta_S",9,"498",1
"Kaua'i Island","beta_S",2.13333333333333,"194",1
"Kaua'i Island","beta_S",1.88235294117647,"196",1
"Kaua'i Island","beta_S",16,"223",1
"Kaua'i Island","beta_S",16,"282",1
"Kaua'i Island","beta_S",32,"327",1
"Kaua'i Island","beta_S",32,"337",1
"Kaua'i Island","beta_S",32,"341",1
"Kaua'i Island","beta_S",16,"460",1
"Kaua'i Island","beta_S",32,"462",1
"Kaua'i Island","beta_S",32,"480",1
"Maui Nui","beta_S",6.5,"19",1
"Maui Nui","beta_S",3.25,"36",1
"Maui Nui","beta_S",13,"142",1
"Maui Nui","beta_S",2.6,"163",1
"Maui Nui","beta_S",2.16666666666667,"345",1
"Maui Nui","beta_S",6.5,"348",1
"Maui Nui","beta_S",6.5,"356",1
"Maui Nui","beta_S",4.33333333333333,"364",1
"Maui Nui","beta_S",4.33333333333333,"365",1
"Maui Nui","beta_S",4.33333333333333,"407",1
"O'ahu Island","beta_S",3.2,"173",1
"O'ahu Island","beta_S",16,"229",1
"O'ahu Island","beta_S",5.33333333333333,"285",1
"O'ahu Island","beta_S",3.2,"296",1
"O'ahu Island","beta_S",4,"300",1
"O'ahu Island","beta_S",8,"314",1
"O'ahu Island","beta_S",8,"320",1
"O'ahu Island","beta_S",16,"342",1
"O'ahu Island","beta_S",16,"437",1
"O'ahu Island","beta_S",16,"438",1
"Hawai'i Island","beta_S_PIE",0.646558044486383,"16",1
"Hawai'i Island","beta_S_PIE",1.50236340576615,"52",1
"Hawai'i Island","beta_S_PIE",0.789216219484748,"77",1
"Hawai'i Island","beta_S_PIE",1.46896300288676,"115",1
"Hawai'i Island","beta_S_PIE",1.50236340576615,"216",1
"Hawai'i Island","beta_S_PIE",1.50236340576615,"334",1
"Hawai'i Island","beta_S_PIE",1.36702316598607,"336",1
"Hawai'i Island","beta_S_PIE",1.23969526948039,"419",1
"Hawai'i Island","beta_S_PIE",1.50236340576615,"469",1
"Hawai'i Island","beta_S_PIE",1.50236340576615,"498",1
"Kaua'i Island","beta_S_PIE",0.356838606854288,"194",1
"Kaua'i Island","beta_S_PIE",0.537020583588342,"196",1
"Kaua'i Island","beta_S_PIE",2.5543847416414,"223",1
"Kaua'i Island","beta_S_PIE",3.23899168767638,"282",1
"Kaua'i Island","beta_S_PIE",3.54830876562638,"327",1
"Kaua'i Island","beta_S_PIE",3.54830876562638,"337",1
"Kaua'i Island","beta_S_PIE",3.54830876562638,"341",1
"Kaua'i Island","beta_S_PIE",3.42454450814906,"460",1
"Kaua'i Island","beta_S_PIE",3.54830876562638,"462",1
"Kaua'i Island","beta_S_PIE",3.54830876562638,"480",1
"Maui Nui","beta_S_PIE",2.35878870234495,"19",1
"Maui Nui","beta_S_PIE",1.43648668088509,"36",1
"Maui Nui","beta_S_PIE",2.39508968063129,"142",1
"Maui Nui","beta_S_PIE",1.28803557663543,"163",1
"Maui Nui","beta_S_PIE",0.932078465251291,"345",1
"Maui Nui","beta_S_PIE",1.21303301793283,"348",1
"Maui Nui","beta_S_PIE",1.18730941433004,"356",1
"Maui Nui","beta_S_PIE",1.25122097242529,"364",1
"Maui Nui","beta_S_PIE",2.10957628334189,"365",1
"Maui Nui","beta_S_PIE",1.42917013440028,"407",1
"O'ahu Island","beta_S_PIE",1.30085115446546,"173",1
"O'ahu Island","beta_S_PIE",1.62037038237179,"229",1
"O'ahu Island","beta_S_PIE",1.31168813312038,"285",1
"O'ahu Island","beta_S_PIE",0.880584198961988,"296",1
"O'ahu Island","beta_S_PIE",0.556258794555986,"300",1
"O'ahu Island","beta_S_PIE",0.869052630767263,"314",1
"O'ahu Island","beta_S_PIE",0.89818283367425,"320",1
"O'ahu Island","beta_S_PIE",1.62037038237179,"342",1
"O'ahu Island","beta_S_PIE",1.62037038237179,"437",1
"O'ahu Island","beta_S_PIE",1.62037038237179,"438",1
"Hawai'i Island","beta_S",2,"12",2
"Hawai'i Island","beta_S",10,"61",2
"Hawai'i Island","beta_S",10,"208",2
"Hawai'i Island","beta_S",5,"233",2
"Hawai'i Island","beta_S",10,"256",2
"Hawai'i Island","beta_S",2.5,"261",2
"Hawai'i Island","beta_S",5,"324",2
"Hawai'i Island","beta_S",3.33333333333333,"386",2
"Hawai'i Island","beta_S",3.33333333333333,"387",2
"Hawai'i Island","beta_S",10,"470",2
"Kaua'i Island","beta_S",1.4,"194",2
"Kaua'i Island","beta_S",21,"218",2
"Kaua'i Island","beta_S",10.5,"223",2
"Kaua'i Island","beta_S",10.5,"282",2
"Kaua'i Island","beta_S",21,"304",2
"Kaua'i Island","beta_S",21,"337",2
"Kaua'i Island","beta_S",21,"341",2
"Kaua'i Island","beta_S",7,"409",2
"Kaua'i Island","beta_S",21,"454",2
"Kaua'i Island","beta_S",10.5,"460",2
"Maui Nui","beta_S",10.5,"19",2
"Maui Nui","beta_S",5.25,"30",2
"Maui Nui","beta_S",3.5,"144",2
"Maui Nui","beta_S",4.2,"145",2
"Maui Nui","beta_S",3.5,"147",2
"Maui Nui","beta_S",3.5,"177",2
"Maui Nui","beta_S",21,"343",2
"Maui Nui","beta_S",3.5,"345",2
"Maui Nui","beta_S",21,"378",2
"Maui Nui","beta_S",10.5,"388",2
"O'ahu Island","beta_S",4.4,"50",2
"O'ahu Island","beta_S",3.14285714285714,"141",2
"O'ahu Island","beta_S",4.4,"173",2
"O'ahu Island","beta_S",7.33333333333333,"285",2
"O'ahu Island","beta_S",4.4,"296",2
"O'ahu Island","beta_S",5.5,"300",2
"O'ahu Island","beta_S",11,"320",2
"O'ahu Island","beta_S",22,"344",2
"O'ahu Island","beta_S",22,"359",2
"O'ahu Island","beta_S",22,"438",2
"Hawai'i Island","beta_S_PIE",0.920798839129665,"12",2
"Hawai'i Island","beta_S_PIE",2.21493106040263,"61",2
"Hawai'i Island","beta_S_PIE",2.21493106040263,"208",2
"Hawai'i Island","beta_S_PIE",1.11739676224858,"233",2
"Hawai'i Island","beta_S_PIE",2.21493106040263,"256",2
"Hawai'i Island","beta_S_PIE",1.0679303152395,"261",2
"Hawai'i Island","beta_S_PIE",1.22775204846288,"324",2
"Hawai'i Island","beta_S_PIE",0.832674501824234,"386",2
"Hawai'i Island","beta_S_PIE",1.2370874639337,"387",2
"Hawai'i Island","beta_S_PIE",2.21493106040263,"470",2
"Kaua'i Island","beta_S_PIE",0.4379923545584,"194",2
"Kaua'i Island","beta_S_PIE",4.35528017738148,"218",2
"Kaua'i Island","beta_S_PIE",3.13531374114017,"223",2
"Kaua'i Island","beta_S_PIE",3.97561689915396,"282",2
"Kaua'i Island","beta_S_PIE",4.35528017738148,"304",2
"Kaua'i Island","beta_S_PIE",4.35528017738148,"337",2
"Kaua'i Island","beta_S_PIE",4.35528017738148,"341",2
"Kaua'i Island","beta_S_PIE",2.12365384969729,"409",2
"Kaua'i Island","beta_S_PIE",4.35528017738148,"454",2
"Kaua'i Island","beta_S_PIE",4.20336892814606,"460",2
"Maui Nui","beta_S_PIE",4.62015677669645,"19",2
"Maui Nui","beta_S_PIE",2.13039813419082,"30",2
"Maui Nui","beta_S_PIE",1.5835706111962,"144",2
"Maui Nui","beta_S_PIE",1.36450866049557,"145",2
"Maui Nui","beta_S_PIE",2.08318406161465,"147",2
"Maui Nui","beta_S_PIE",1.49812743441871,"177",2
"Maui Nui","beta_S_PIE",4.6912594620127,"343",2
"Maui Nui","beta_S_PIE",1.82566104092431,"345",2
"Maui Nui","beta_S_PIE",4.6912594620127,"378",2
"Maui Nui","beta_S_PIE",2.34735122690512,"388",2
"O'ahu Island","beta_S_PIE",2.58516261002861,"50",2
"O'ahu Island","beta_S_PIE",1.65809030833296,"141",2
"O'ahu Island","beta_S_PIE",3.21446272080749,"173",2
"O'ahu Island","beta_S_PIE",3.24124139089042,"285",2
"O'ahu Island","beta_S_PIE",2.17596384519379,"296",2
"O'ahu Island","beta_S_PIE",1.37454093197641,"300",2
"O'ahu Island","beta_S_PIE",2.21945087676192,"320",2
"O'ahu Island","beta_S_PIE",4.00400935199617,"344",2
"O'ahu Island","beta_S_PIE",4.00400935199617,"359",2
"O'ahu Island","beta_S_PIE",4.00400935199617,"438",2
"Hawai'i Island","beta_S",13,"114",3
"Hawai'i Island","beta_S",2.6,"125",3
"Hawai'i Island","beta_S",1.44444444444444,"128",3
"Hawai'i Island","beta_S",6.5,"203",3
"Hawai'i Island","beta_S",13,"248",3
"Hawai'i Island","beta_S",13,"286",3
"Hawai'i Island","beta_S",13,"302",3
"Hawai'i Island","beta_S",3.25,"411",3
"Hawai'i Island","beta_S",13,"474",3
"Hawai'i Island","beta_S",13,"481",3
"Kaua'i Island","beta_S",2.2,"194",3
"Kaua'i Island","beta_S",33,"218",3
"Kaua'i Island","beta_S",5.5,"230",3
"Kaua'i Island","beta_S",2.0625,"287",3
"Kaua'i Island","beta_S",33,"304",3
"Kaua'i Island","beta_S",11,"308",3
"Kaua'i Island","beta_S",33,"327",3
"Kaua'i Island","beta_S",33,"337",3
"Kaua'i Island","beta_S",33,"341",3
"Kaua'i Island","beta_S",33,"454",3
"Maui Nui","beta_S",4.66666666666667,"22",3
"Maui Nui","beta_S",2.8,"31",3
"Maui Nui","beta_S",2.33333333333333,"32",3
"Maui Nui","beta_S",3.5,"146",3
"Maui Nui","beta_S",2,"159",3
"Maui Nui","beta_S",2.33333333333333,"161",3
"Maui Nui","beta_S",14,"343",3
"Maui Nui","beta_S",7,"348",3
"Maui Nui","beta_S",7,"349",3
"Maui Nui","beta_S",7,"388",3
"O'ahu Island","beta_S",2.28571428571429,"1",3
"O'ahu Island","beta_S",16,"229",3
"O'ahu Island","beta_S",5.33333333333333,"285",3
"O'ahu Island","beta_S",3.2,"296",3
"O'ahu Island","beta_S",4,"300",3
"O'ahu Island","beta_S",4,"319",3
"O'ahu Island","beta_S",8,"320",3
"O'ahu Island","beta_S",16,"342",3
"O'ahu Island","beta_S",16,"344",3
"O'ahu Island","beta_S",16,"461",3
"Hawai'i Island","beta_S_PIE",3.19674753615761,"114",3
"Hawai'i Island","beta_S_PIE",1.48549087649921,"125",3
"Hawai'i Island","beta_S_PIE",1.23480718014639,"128",3
"Hawai'i Island","beta_S_PIE",2.13355720235613,"203",3
"Hawai'i Island","beta_S_PIE",3.19674753615761,"248",3
"Hawai'i Island","beta_S_PIE",3.19674753615761,"286",3
"Hawai'i Island","beta_S_PIE",3.19674753615761,"302",3
"Hawai'i Island","beta_S_PIE",1.04252989462509,"411",3
"Hawai'i Island","beta_S_PIE",3.19674753615761,"474",3
"Hawai'i Island","beta_S_PIE",3.19674753615761,"481",3
