"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1,"interpolated",0,1,1,1,0.356,0.349,0.362,"Hawai'i Island",1
100,"interpolated",0,6.279,6.163,6.394,0.99,0.989,0.991,"Hawai'i Island",1
200,"interpolated",0,7.022,6.852,7.192,0.994,0.994,0.995,"Hawai'i Island",1
300,"interpolated",0,7.493,7.291,7.694,0.996,0.996,0.997,"Hawai'i Island",1
400,"interpolated",0,7.818,7.601,8.036,0.997,0.997,0.998,"Hawai'i Island",1
500,"interpolated",0,8.056,7.832,8.281,0.998,0.998,0.998,"Hawai'i Island",1
600,"interpolated",0,8.237,8.011,8.462,0.998,0.998,0.999,"Hawai'i Island",1
700,"interpolated",0,8.376,8.154,8.599,0.999,0.999,0.999,"Hawai'i Island",1
800,"interpolated",0,8.487,8.269,8.704,0.999,0.999,0.999,"Hawai'i Island",1
900,"interpolated",0,8.574,8.364,8.785,0.999,0.999,0.999,"Hawai'i Island",1
1000,"interpolated",0,8.645,8.442,8.848,0.999,0.999,0.999,"Hawai'i Island",1
1,"interpolated",0,1,1,1,0.325,0.307,0.343,"Kaua'i Island",1
100,"interpolated",0,17.874,17.315,18.432,0.923,0.919,0.926,"Kaua'i Island",1
200,"interpolated",0,23.029,22.333,23.725,0.966,0.964,0.968,"Kaua'i Island",1
300,"interpolated",0,25.55,24.805,26.296,0.981,0.98,0.983,"Kaua'i Island",1
400,"interpolated",0,27.014,26.263,27.764,0.989,0.988,0.99,"Kaua'i Island",1
500,"interpolated",0,27.942,27.215,28.669,0.993,0.992,0.993,"Kaua'i Island",1
600,"interpolated",0,28.561,27.876,29.246,0.995,0.994,0.996,"Kaua'i Island",1
700,"interpolated",0,28.985,28.352,29.619,0.996,0.996,0.997,"Kaua'i Island",1
800,"interpolated",0,29.282,28.705,29.86,0.998,0.997,0.998,"Kaua'i Island",1
900,"interpolated",0,29.493,28.971,30.014,0.998,0.998,0.999,"Kaua'i Island",1
1000,"interpolated",0,29.642,29.175,30.109,0.999,0.998,0.999,"Kaua'i Island",1
1,"interpolated",0,1,1,1,0.328,0.323,0.333,"Maui Nui",1
100,"interpolated",0,6.998,6.837,7.159,0.987,0.985,0.988,"Maui Nui",1
200,"interpolated",0,7.929,7.708,8.151,0.993,0.993,0.994,"Maui Nui",1
300,"interpolated",0,8.465,8.222,8.708,0.996,0.995,0.996,"Maui Nui",1
400,"interpolated",0,8.827,8.579,9.076,0.997,0.997,0.997,"Maui Nui",1
500,"interpolated",0,9.087,8.84,9.335,0.998,0.998,0.998,"Maui Nui",1
600,"interpolated",0,9.281,9.039,9.523,0.998,0.998,0.999,"Maui Nui",1
700,"interpolated",0,9.428,9.193,9.662,0.999,0.999,0.999,"Maui Nui",1
800,"interpolated",0,9.541,9.316,9.766,0.999,0.999,0.999,"Maui Nui",1
900,"interpolated",0,9.631,9.416,9.845,0.999,0.999,0.999,"Maui Nui",1
1000,"interpolated",0,9.701,9.498,9.904,0.999,0.999,1,"Maui Nui",1
1,"interpolated",0,1,1,1,0.361,0.355,0.367,"O'ahu Island",1
100,"interpolated",0,5.225,5.144,5.306,0.996,0.995,0.997,"O'ahu Island",1
200,"interpolated",0,5.512,5.365,5.659,0.998,0.997,0.998,"O'ahu Island",1
300,"interpolated",0,5.736,5.534,5.937,0.998,0.997,0.998,"O'ahu Island",1
400,"interpolated",0,5.937,5.692,6.183,0.998,0.998,0.998,"O'ahu Island",1
500,"interpolated",0,6.121,5.84,6.402,0.998,0.998,0.999,"O'ahu Island",1
600,"interpolated",0,6.287,5.978,6.596,0.998,0.998,0.999,"O'ahu Island",1
700,"interpolated",0,6.439,6.108,6.769,0.999,0.998,0.999,"O'ahu Island",1
800,"interpolated",0,6.576,6.229,6.923,0.999,0.999,0.999,"O'ahu Island",1
900,"interpolated",0,6.701,6.343,7.06,0.999,0.999,0.999,"O'ahu Island",1
1000,"interpolated",0,6.815,6.448,7.182,0.999,0.999,0.999,"O'ahu Island",1
1,"interpolated",0,1,1,1,0.382,0.375,0.388,"Hawai'i Island",2
100,"interpolated",0,7.326,7.196,7.456,0.981,0.981,0.982,"Hawai'i Island",2
200,"interpolated",0,8.617,8.447,8.788,0.991,0.99,0.991,"Hawai'i Island",2
300,"interpolated",0,9.356,9.178,9.534,0.994,0.994,0.994,"Hawai'i Island",2
400,"interpolated",0,9.841,9.671,10.01,0.996,0.996,0.996,"Hawai'i Island",2
500,"interpolated",0,10.173,10.02,10.326,0.997,0.997,0.997,"Hawai'i Island",2
600,"interpolated",0,10.406,10.271,10.54,0.998,0.998,0.998,"Hawai'i Island",2
700,"interpolated",0,10.571,10.455,10.686,0.999,0.998,0.999,"Hawai'i Island",2
800,"interpolated",0,10.688,10.589,10.788,0.999,0.999,0.999,"Hawai'i Island",2
900,"interpolated",0,10.773,10.689,10.858,0.999,0.999,0.999,"Hawai'i Island",2
1000,"interpolated",0,10.835,10.763,10.906,0.999,0.999,1,"Hawai'i Island",2
1,"interpolated",0,1,1,1,0.428,0.413,0.442,"Kaua'i Island",2
100,"interpolated",0,8.428,8.171,8.685,0.979,0.978,0.98,"Kaua'i Island",2
200,"interpolated",0,9.763,9.496,10.031,0.991,0.991,0.992,"Kaua'i Island",2
