"geo_entity2","PlotID","SPP_CODE3A","Abundance_ha","r_PET","meanPET","meanMAP","totPlotArea","Iteration"
"O'ahu Island",319,"ACAKOA",59,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",319,"BOBSAN",1542,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",319,"METPOL",1780,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",319,"PSYMA2",2373,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",461,"HIBTIL",3619,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",314,"ACAKOA",416,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",314,"METPOL",238,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",141,"ANTPUL",80,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",141,"DIOSAN",10,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",141,"NESSAN",30,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",141,"PISSAN",110,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",141,"POUSAN",30,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",141,"RAUSAN",40,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",141,"SAPOAH",480,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"ACAKOA",160,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"ANTPLA",30,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"COPFOL",50,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"CYASPP",10,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"DIOSAN",20,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"METPOL",810,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"MYRLAN",10,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"MYRLES",10,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"PSYMA2",40,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"PSYODO",140,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"SANFRE",20,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",143,"STYTAM",10,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",437,"METPOL",7118,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",173,"DIOSAN",1420,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",173,"NESSAN",30,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",173,"REYSAN",10,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",173,"PSYODO",110,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",173,"SAPOAH",20,60.7548828125,1320.00880650112,2239.81919642857,5185.47,1
"O'ahu Island",173,"DIOSAN",1420,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",173,"NESSAN",30,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",173,"REYSAN",10,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",173,"PSYODO",110,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",173,"SAPOAH",20,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",141,"ANTPUL",80,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",141,"DIOSAN",10,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",141,"NESSAN",30,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",141,"PISSAN",110,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",141,"POUSAN",30,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",141,"RAUSAN",40,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",141,"SAPOAH",480,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",300,"ACAKOA",119,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",300,"BOBSAN",59,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",300,"METPOL",238,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",300,"SYZSAN",59,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",461,"HIBTIL",3619,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",1,"ACAKOA",120,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",1,"DIOSAN",30,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
"O'ahu Island",1,"METPOL",340,67.7900390625,1322.38821847098,1760.08152553013,6008.68,2
