"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,8.541,8.323,8.759,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",0,9,9,9,1,1,1,"Hawai'i Island",1
1000,"interpolated",1,3.415,3.368,3.462,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",1,3.428,3.381,3.475,1,1,1,"Hawai'i Island",1
1000,"interpolated",2,2.787,2.757,2.818,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",2,2.792,2.761,2.822,1,1,1,"Hawai'i Island",1
1000,"interpolated",0,16.574,16.176,16.972,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",0,18,17.987,18.013,1,1,1,"Kaua'i Island",1
1000,"interpolated",1,5.912,5.805,6.019,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",1,5.961,5.852,6.069,1,1,1,"Kaua'i Island",1
1000,"interpolated",2,4.52,4.442,4.599,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",2,4.535,4.456,4.613,1,1,1,"Kaua'i Island",1
1000,"interpolated",0,10.909,10.702,11.116,0.999,0.999,0.999,"Maui Nui",1
10000,"interpolated",0,11.991,11.859,12.123,1,1,1,"Maui Nui",1
1000,"interpolated",1,4.133,4.085,4.181,0.999,0.999,0.999,"Maui Nui",1
10000,"interpolated",1,4.155,4.107,4.203,1,1,1,"Maui Nui",1
1000,"interpolated",2,3.15,3.111,3.189,0.999,0.999,0.999,"Maui Nui",1
10000,"interpolated",2,3.156,3.117,3.196,1,1,1,"Maui Nui",1
1000,"interpolated",0,16.765,16.279,17.251,0.997,0.997,0.998,"O'ahu Island",1
10000,"interpolated",0,19,18.998,19.002,1,1,1,"O'ahu Island",1
1000,"interpolated",1,2.736,2.679,2.793,0.997,0.997,0.998,"O'ahu Island",1
10000,"interpolated",1,2.76,2.703,2.818,1,1,1,"O'ahu Island",1
1000,"interpolated",2,1.757,1.727,1.786,0.997,0.997,0.998,"O'ahu Island",1
10000,"interpolated",2,1.758,1.728,1.787,1,1,1,"O'ahu Island",1
1000,"interpolated",0,9.233,8.849,9.616,0.998,0.997,0.998,"Hawai'i Island",2
10000,"interpolated",0,12.971,12.688,13.254,1,1,1,"Hawai'i Island",2
1000,"interpolated",1,3.221,3.186,3.256,0.998,0.997,0.998,"Hawai'i Island",2
10000,"interpolated",1,3.239,3.204,3.274,1,1,1,"Hawai'i Island",2
1000,"interpolated",2,2.659,2.633,2.685,0.998,0.997,0.998,"Hawai'i Island",2
10000,"interpolated",2,2.663,2.637,2.69,1,1,1,"Hawai'i Island",2
1000,"interpolated",0,31.692,31.102,32.282,0.996,0.996,0.997,"Kaua'i Island",2
8936,"interpolated",0,34,34,34,1,1,1,"Kaua'i Island",2
8937,"observed",0,34,34,34,1,1,1,"Kaua'i Island",2
8938,"extrapolated",0,34,34,34,1,1,1,"Kaua'i Island",2
10000,"extrapolated",0,34,34,34,1,1,1,"Kaua'i Island",2
1000,"interpolated",1,7.67,7.424,7.916,0.996,0.996,0.997,"Kaua'i Island",2
8936,"interpolated",1,7.792,7.542,8.041,1,1,1,"Kaua'i Island",2
8937,"observed",1,7.792,7.542,8.041,1,1,1,"Kaua'i Island",2
8938,"extrapolated",1,7.792,7.542,8.041,1,1,1,"Kaua'i Island",2
10000,"extrapolated",1,7.793,7.544,8.043,1,1,1,"Kaua'i Island",2
1000,"interpolated",2,4.334,4.204,4.463,0.996,0.996,0.997,"Kaua'i Island",2
8936,"interpolated",2,4.346,4.216,4.477,1,1,1,"Kaua'i Island",2
8937,"observed",2,4.346,4.216,4.477,1,1,1,"Kaua'i Island",2
8938,"extrapolated",2,4.346,4.216,4.477,1,1,1,"Kaua'i Island",2
10000,"extrapolated",2,4.347,4.216,4.477,1,1,1,"Kaua'i Island",2
1000,"interpolated",0,12.184,11.983,12.386,0.998,0.998,0.999,"Maui Nui",2
10000,"interpolated",0,13,13,13,1,1,1,"Maui Nui",2
1000,"interpolated",1,4.079,4.033,4.124,0.998,0.998,0.999,"Maui Nui",2
10000,"interpolated",1,4.102,4.057,4.148,1,1,1,"Maui Nui",2
1000,"interpolated",2,3.167,3.135,3.198,0.998,0.998,0.999,"Maui Nui",2
10000,"interpolated",2,3.173,3.141,3.205,1,1,1,"Maui Nui",2
1000,"interpolated",0,20.626,20.16,21.092,0.998,0.998,0.998,"O'ahu Island",2
10000,"interpolated",0,22,22,22,1,1,1,"O'ahu Island",2
1000,"interpolated",1,5.785,5.657,5.913,0.998,0.998,0.998,"O'ahu Island",2
10000,"interpolated",1,5.843,5.714,5.973,1,1,1,"O'ahu Island",2
1000,"interpolated",2,3.968,3.889,4.048,0.998,0.998,0.998,"O'ahu Island",2
10000,"interpolated",2,3.979,3.899,4.059,1,1,1,"O'ahu Island",2
1000,"interpolated",0,11.592,11.411,11.773,1,0.999,1,"Hawai'i Island",3
10000,"interpolated",0,12,12,12,1,1,1,"Hawai'i Island",3
1000,"interpolated",1,3.858,3.784,3.931,1,0.999,1,"Hawai'i Island",3
10000,"interpolated",1,3.878,3.804,3.952,1,1,1,"Hawai'i Island",3
1000,"interpolated",2,2.877,2.83,2.924,1,0.999,1,"Hawai'i Island",3
10000,"interpolated",2,2.882,2.835,2.929,1,1,1,"Hawai'i Island",3
1000,"interpolated",0,29.553,29.002,30.105,0.995,0.995,0.995,"Kaua'i Island",3
10000,"interpolated",0,33,32.997,33.003,1,1,1,"Kaua'i Island",3
1000,"interpolated",1,6.89,6.705,7.075,0.995,0.995,0.996,"Kaua'i Island",3
10000,"interpolated",1,6.999,6.812,7.187,1,1,1,"Kaua'i Island",3
1000,"interpolated",2,4.411,4.316,4.505,0.995,0.995,0.995,"Kaua'i Island",3
10000,"interpolated",2,4.424,4.329,4.519,1,1,1,"Kaua'i Island",3
1000,"interpolated",0,21.681,21.281,22.081,0.998,0.998,0.998,"Maui Nui",3
10000,"interpolated",0,23.994,23.921,24.066,1,1,1,"Maui Nui",3
1000,"interpolated",1,5.924,5.824,6.025,0.998,0.998,0.998,"Maui Nui",3
10000,"interpolated",1,5.989,5.887,6.091,1,1,1,"Maui Nui",3
1000,"interpolated",2,3.731,3.675,3.786,0.998,0.998,0.998,"Maui Nui",3
10000,"interpolated",2,3.74,3.684,3.796,1,1,1,"Maui Nui",3
1000,"interpolated",0,21.429,20.976,21.883,0.996,0.996,0.997,"O'ahu Island",3
10000,"interpolated",0,24,23.999,24.001,1,1,1,"O'ahu Island",3
1000,"interpolated",1,2.324,2.254,2.394,0.996,0.996,0.997,"O'ahu Island",3
10000,"interpolated",1,2.351,2.28,2.421,1,1,1,"O'ahu Island",3
1000,"interpolated",2,1.429,1.405,1.454,0.996,0.996,0.997,"O'ahu Island",3
10000,"interpolated",2,1.43,1.405,1.454,1,1,1,"O'ahu Island",3
1000,"interpolated",0,12.087,11.818,12.357,0.999,0.999,0.999,"Hawai'i Island",4
10000,"interpolated",0,13,12.999,13.001,1,1,1,"Hawai'i Island",4
1000,"interpolated",1,2.565,2.506,2.624,0.999,0.999,0.999,"Hawai'i Island",4
10000,"interpolated",1,2.58,2.52,2.639,1,1,1,"Hawai'i Island",4
1000,"interpolated",2,1.641,1.618,1.664,0.999,0.999,0.999,"Hawai'i Island",4
10000,"interpolated",2,1.642,1.619,1.665,1,1,1,"Hawai'i Island",4
1000,"interpolated",0,34.157,33.397,34.916,0.993,0.993,0.994,"Kaua'i Island",4
10000,"interpolated",0,40,39.98,40.02,1,1,1,"Kaua'i Island",4
1000,"interpolated",1,6.909,6.729,7.089,0.993,0.993,0.993,"Kaua'i Island",4
10000,"interpolated",1,7.043,6.86,7.227,1,1,1,"Kaua'i Island",4
1000,"interpolated",2,4.343,4.245,4.441,0.993,0.993,0.993,"Kaua'i Island",4
10000,"interpolated",2,4.356,4.257,4.455,1,1,1,"Kaua'i Island",4
1000,"interpolated",0,11.894,11.625,12.164,0.999,0.998,0.999,"Maui Nui",4
10000,"interpolated",0,12.999,12.945,13.053,1,1,1,"Maui Nui",4
1000,"interpolated",1,4.127,4.077,4.176,0.999,0.999,0.999,"Maui Nui",4
10000,"interpolated",1,4.15,4.1,4.2,1,1,1,"Maui Nui",4
1000,"interpolated",2,3.035,2.991,3.079,0.999,0.998,0.999,"Maui Nui",4
10000,"interpolated",2,3.041,2.996,3.085,1,1,1,"Maui Nui",4
1000,"interpolated",0,18.389,18.113,18.666,0.999,0.998,0.999,"O'ahu Island",4
9040,"interpolated",0,19,19,19,1,1,1,"O'ahu Island",4
9041,"observed",0,19,19,19,1,1,1,"O'ahu Island",4
9042,"extrapolated",0,19,19,19,1,1,1,"O'ahu Island",4
10000,"extrapolated",0,19,19,19,1,1,1,"O'ahu Island",4
1000,"interpolated",1,5.609,5.469,5.749,0.999,0.998,0.999,"O'ahu Island",4
9040,"interpolated",1,5.657,5.515,5.798,1,1,1,"O'ahu Island",4
9041,"observed",1,5.657,5.515,5.798,1,1,1,"O'ahu Island",4
9042,"extrapolated",1,5.657,5.515,5.798,1,1,1,"O'ahu Island",4
10000,"extrapolated",1,5.657,5.516,5.799,1,1,1,"O'ahu Island",4
1000,"interpolated",2,4.06,3.988,4.133,0.999,0.998,0.999,"O'ahu Island",4
9040,"interpolated",2,4.071,3.998,4.144,1,1,1,"O'ahu Island",4
9041,"observed",2,4.071,3.998,4.144,1,1,1,"O'ahu Island",4
9042,"extrapolated",2,4.071,3.998,4.144,1,1,1,"O'ahu Island",4
10000,"extrapolated",2,4.071,3.999,4.144,1,1,1,"O'ahu Island",4
1000,"interpolated",0,12.759,12.626,12.892,0.999,0.999,1,"Hawai'i Island",5
10000,"interpolated",0,13,13,13,1,1,1,"Hawai'i Island",5
1000,"interpolated",1,2.787,2.72,2.854,0.999,0.999,1,"Hawai'i Island",5
10000,"interpolated",1,2.803,2.735,2.87,1,1,1,"Hawai'i Island",5
1000,"interpolated",2,1.697,1.67,1.725,0.999,0.999,1,"Hawai'i Island",5
10000,"interpolated",2,1.698,1.671,1.726,1,1,1,"Hawai'i Island",5
1000,"interpolated",0,28.518,27.778,29.259,0.993,0.993,0.993,"Kaua'i Island",5
10000,"interpolated",0,36.997,36.938,37.056,1,1,1,"Kaua'i Island",5
1000,"interpolated",1,7.373,7.221,7.524,0.993,0.993,0.993,"Kaua'i Island",5
10000,"interpolated",1,7.502,7.346,7.658,1,1,1,"Kaua'i Island",5
1000,"interpolated",2,4.962,4.891,5.032,0.993,0.993,0.993,"Kaua'i Island",5
10000,"interpolated",2,4.98,4.908,5.051,1,1,1,"Kaua'i Island",5
1000,"interpolated",0,9.958,9.93,9.987,1,1,1,"Maui Nui",5
10000,"interpolated",0,10,10,10,1,1,1,"Maui Nui",5
1000,"interpolated",1,3.884,3.828,3.94,1,1,1,"Maui Nui",5
10000,"interpolated",1,3.9,3.844,3.957,1,1,1,"Maui Nui",5
1000,"interpolated",2,2.688,2.648,2.727,1,1,1,"Maui Nui",5
10000,"interpolated",2,2.692,2.652,2.731,1,1,1,"Maui Nui",5
1000,"interpolated",0,17.772,17.235,18.31,0.997,0.997,0.998,"O'ahu Island",5
10000,"interpolated",0,20,19.998,20.002,1,1,1,"O'ahu Island",5
1000,"interpolated",1,5.731,5.616,5.847,0.997,0.997,0.997,"O'ahu Island",5
10000,"interpolated",1,5.785,5.668,5.901,1,1,1,"O'ahu Island",5
1000,"interpolated",2,4.295,4.201,4.388,0.997,0.997,0.998,"O'ahu Island",5
10000,"interpolated",2,4.307,4.213,4.402,1,1,1,"O'ahu Island",5
1000,"interpolated",0,9,9,9,1,1,1,"Hawai'i Island",6
10000,"interpolated",0,9,9,9,1,1,1,"Hawai'i Island",6
1000,"interpolated",1,4.43,4.359,4.501,1,1,1,"Hawai'i Island",6
10000,"interpolated",1,4.446,4.375,4.517,1,1,1,"Hawai'i Island",6
1000,"interpolated",2,2.792,2.741,2.843,1,1,1,"Hawai'i Island",6
10000,"interpolated",2,2.797,2.745,2.848,1,1,1,"Hawai'i Island",6
1000,"interpolated",0,22.596,21.947,23.244,0.995,0.995,0.995,"Kaua'i Island",6
10000,"interpolated",0,27.999,27.949,28.05,1,1,1,"Kaua'i Island",6
1000,"interpolated",1,6.402,6.282,6.522,0.995,0.995,0.996,"Kaua'i Island",6
10000,"interpolated",1,6.487,6.365,6.608,1,1,1,"Kaua'i Island",6
1000,"interpolated",2,4.644,4.571,4.717,0.995,0.995,0.995,"Kaua'i Island",6
10000,"interpolated",2,4.659,4.585,4.733,1,1,1,"Kaua'i Island",6
1000,"interpolated",0,19.589,19.015,20.163,0.996,0.996,0.997,"Maui Nui",6
10000,"interpolated",0,22.999,22.917,23.081,1,1,1,"Maui Nui",6
1000,"interpolated",1,5.895,5.784,6.005,0.996,0.996,0.997,"Maui Nui",6
10000,"interpolated",1,5.958,5.847,6.069,1,1,1,"Maui Nui",6
1000,"interpolated",2,3.885,3.816,3.955,0.996,0.996,0.997,"Maui Nui",6
10000,"interpolated",2,3.896,3.826,3.966,1,1,1,"Maui Nui",6
1000,"interpolated",0,17.738,17.184,18.291,0.997,0.997,0.997,"O'ahu Island",6
10000,"interpolated",0,20,19.997,20.003,1,1,1,"O'ahu Island",6
1000,"interpolated",1,2.478,2.423,2.532,0.997,0.997,0.997,"O'ahu Island",6
10000,"interpolated",1,2.501,2.446,2.556,1,1,1,"O'ahu Island",6
1000,"interpolated",2,1.602,1.577,1.626,0.997,0.997,0.997,"O'ahu Island",6
10000,"interpolated",2,1.603,1.578,1.627,1,1,1,"O'ahu Island",6
1000,"interpolated",0,13.267,13.124,13.41,0.999,0.998,0.999,"Hawai'i Island",7
10000,"interpolated",0,14,14,14,1,1,1,"Hawai'i Island",7
1000,"interpolated",1,3.209,3.158,3.26,0.999,0.998,0.999,"Hawai'i Island",7
10000,"interpolated",1,3.229,3.178,3.28,1,1,1,"Hawai'i Island",7
1000,"interpolated",2,2.341,2.314,2.368,0.999,0.998,0.999,"Hawai'i Island",7
10000,"interpolated",2,2.344,2.317,2.371,1,1,1,"Hawai'i Island",7
1000,"interpolated",0,30.322,29.524,31.121,0.994,0.994,0.995,"Kaua'i Island",7
10000,"interpolated",0,35,34.999,35.001,1,1,1,"Kaua'i Island",7
1000,"interpolated",1,7.044,6.866,7.223,0.994,0.994,0.994,"Kaua'i Island",7
10000,"interpolated",1,7.163,6.982,7.345,1,1,1,"Kaua'i Island",7
1000,"interpolated",2,4.614,4.515,4.714,0.994,0.994,0.994,"Kaua'i Island",7
10000,"interpolated",2,4.629,4.53,4.729,1,1,1,"Kaua'i Island",7
1000,"interpolated",0,11.827,11.743,11.911,1,0.999,1,"Maui Nui",7
10000,"interpolated",0,12,12,12,1,1,1,"Maui Nui",7
1000,"interpolated",1,5.126,5.051,5.201,1,0.999,1,"Maui Nui",7
10000,"interpolated",1,5.153,5.077,5.228,1,1,1,"Maui Nui",7
1000,"interpolated",2,3.694,3.631,3.758,1,0.999,1,"Maui Nui",7
10000,"interpolated",2,3.703,3.64,3.767,1,1,1,"Maui Nui",7
1000,"interpolated",0,16.695,16.173,17.217,0.996,0.996,0.997,"O'ahu Island",7
10000,"interpolated",0,20,19.987,20.013,1,1,1,"O'ahu Island",7
1000,"interpolated",1,2.76,2.699,2.821,0.996,0.996,0.997,"O'ahu Island",7
10000,"interpolated",1,2.786,2.724,2.847,1,1,1,"O'ahu Island",7
1000,"interpolated",2,2.009,1.976,2.042,0.996,0.996,0.997,"O'ahu Island",7
10000,"interpolated",2,2.011,1.978,2.044,1,1,1,"O'ahu Island",7
1000,"interpolated",0,10.64,10.511,10.768,0.999,0.999,0.999,"Hawai'i Island",8
10000,"interpolated",0,11,11,11,1,1,1,"Hawai'i Island",8
1000,"interpolated",1,2.469,2.432,2.506,0.999,0.999,0.999,"Hawai'i Island",8
10000,"interpolated",1,2.481,2.444,2.518,1,1,1,"Hawai'i Island",8
1000,"interpolated",2,1.566,1.548,1.583,0.999,0.999,0.999,"Hawai'i Island",8
10000,"interpolated",2,1.567,1.549,1.584,1,1,1,"Hawai'i Island",8
1000,"interpolated",0,32.846,31.944,33.747,0.993,0.993,0.993,"Kaua'i Island",8
10000,"interpolated",0,40,39.821,40.178,1,1,1,"Kaua'i Island",8
1000,"interpolated",1,6.648,6.478,6.818,0.993,0.993,0.994,"Kaua'i Island",8
10000,"interpolated",1,6.775,6.602,6.949,1,1,1,"Kaua'i Island",8
1000,"interpolated",2,3.875,3.806,3.945,0.993,0.993,0.994,"Kaua'i Island",8
10000,"interpolated",2,3.886,3.815,3.956,1,1,1,"Kaua'i Island",8
1000,"interpolated",0,13.991,13.776,14.207,0.999,0.999,0.999,"Maui Nui",8
10000,"interpolated",0,14.992,14.934,15.051,1,1,1,"Maui Nui",8
1000,"interpolated",1,4.481,4.422,4.54,0.999,0.999,0.999,"Maui Nui",8
10000,"interpolated",1,4.511,4.451,4.57,1,1,1,"Maui Nui",8
1000,"interpolated",2,3.067,3.031,3.104,0.999,0.999,0.999,"Maui Nui",8
10000,"interpolated",2,3.073,3.036,3.11,1,1,1,"Maui Nui",8
1000,"interpolated",0,15.08,14.583,15.576,0.997,0.996,0.997,"O'ahu Island",8
10000,"interpolated",0,18.993,18.932,19.054,1,1,1,"O'ahu Island",8
1000,"interpolated",1,4.64,4.564,4.716,0.997,0.997,0.997,"O'ahu Island",8
10000,"interpolated",1,4.68,4.603,4.757,1,1,1,"O'ahu Island",8
1000,"interpolated",2,3.145,3.088,3.202,0.997,0.997,0.997,"O'ahu Island",8
10000,"interpolated",2,3.151,3.094,3.209,1,1,1,"O'ahu Island",8
1000,"interpolated",0,7,7,7,1,1,1,"Hawai'i Island",9
10000,"interpolated",0,7,7,7,1,1,1,"Hawai'i Island",9
1000,"interpolated",1,4.159,4.1,4.219,1,1,1,"Hawai'i Island",9
10000,"interpolated",1,4.17,4.111,4.23,1,1,1,"Hawai'i Island",9
1000,"interpolated",2,3.119,3.058,3.179,1,1,1,"Hawai'i Island",9
10000,"interpolated",2,3.125,3.064,3.186,1,1,1,"Hawai'i Island",9
1000,"interpolated",0,28.707,27.857,29.556,0.993,0.993,0.994,"Kaua'i Island",9
10000,"interpolated",0,35,34.94,35.06,1,1,1,"Kaua'i Island",9
1000,"interpolated",1,6.598,6.461,6.734,0.993,0.993,0.994,"Kaua'i Island",9
10000,"interpolated",1,6.71,6.57,6.849,1,1,1,"Kaua'i Island",9
1000,"interpolated",2,4.585,4.521,4.648,0.993,0.993,0.994,"Kaua'i Island",9
10000,"interpolated",2,4.599,4.535,4.664,1,1,1,"Kaua'i Island",9
1000,"interpolated",0,11.507,11.333,11.681,0.999,0.999,0.999,"Maui Nui",9
10000,"interpolated",0,12,12,12,1,1,1,"Maui Nui",9
1000,"interpolated",1,4.796,4.735,4.858,0.999,0.999,0.999,"Maui Nui",9
10000,"interpolated",1,4.821,4.76,4.883,1,1,1,"Maui Nui",9
1000,"interpolated",2,3.528,3.476,3.579,0.999,0.999,0.999,"Maui Nui",9
10000,"interpolated",2,3.536,3.483,3.588,1,1,1,"Maui Nui",9
1000,"interpolated",0,16.016,15.562,16.47,0.997,0.997,0.997,"O'ahu Island",9
10000,"interpolated",0,18.998,18.854,19.141,1,1,1,"O'ahu Island",9
1000,"interpolated",1,3.946,3.89,4.002,0.997,0.997,0.997,"O'ahu Island",9
10000,"interpolated",1,3.981,3.924,4.037,1,1,1,"O'ahu Island",9
1000,"interpolated",2,2.735,2.688,2.783,0.997,0.997,0.997,"O'ahu Island",9
10000,"interpolated",2,2.74,2.692,2.787,1,1,1,"O'ahu Island",9
1000,"interpolated",0,15.565,15.439,15.692,0.999,0.999,0.999,"Hawai'i Island",10
10000,"interpolated",0,16,16,16,1,1,1,"Hawai'i Island",10
1000,"interpolated",1,6.143,6.059,6.226,0.999,0.999,0.999,"Hawai'i Island",10
10000,"interpolated",1,6.186,6.102,6.27,1,1,1,"Hawai'i Island",10
1000,"interpolated",2,3.745,3.693,3.798,0.999,0.999,0.999,"Hawai'i Island",10
10000,"interpolated",2,3.755,3.702,3.808,1,1,1,"Hawai'i Island",10
1000,"interpolated",0,31.227,30.541,31.913,0.994,0.994,0.995,"Kaua'i Island",10
10000,"interpolated",0,36,35.982,36.018,1,1,1,"Kaua'i Island",10
1000,"interpolated",1,7.262,7.1,7.424,0.994,0.994,0.995,"Kaua'i Island",10
10000,"interpolated",1,7.388,7.222,7.553,1,1,1,"Kaua'i Island",10
1000,"interpolated",2,4.599,4.505,4.694,0.994,0.994,0.995,"Kaua'i Island",10
10000,"interpolated",2,4.614,4.519,4.71,1,1,1,"Kaua'i Island",10
1000,"interpolated",0,12.165,11.904,12.425,0.999,0.999,0.999,"Maui Nui",10
10000,"interpolated",0,13,12.91,13.089,1,1,1,"Maui Nui",10
1000,"interpolated",1,4.383,4.325,4.441,0.999,0.999,0.999,"Maui Nui",10
10000,"interpolated",1,4.408,4.35,4.467,1,1,1,"Maui Nui",10
1000,"interpolated",2,3.119,3.069,3.168,0.999,0.999,0.999,"Maui Nui",10
10000,"interpolated",2,3.124,3.075,3.174,1,1,1,"Maui Nui",10
1000,"interpolated",0,18.766,18.481,19.05,0.999,0.999,1,"O'ahu Island",10
4002,"interpolated",0,19,19,19,1,1,1,"O'ahu Island",10
4003,"observed",0,19,19,19,1,1,1,"O'ahu Island",10
4004,"extrapolated",0,19,19,19,1,1,1,"O'ahu Island",10
10000,"extrapolated",0,19,19,19,1,1,1,"O'ahu Island",10
1000,"interpolated",1,3.396,3.22,3.572,0.999,0.999,1,"O'ahu Island",10
4002,"interpolated",1,3.42,3.243,3.597,1,1,1,"O'ahu Island",10
4003,"observed",1,3.42,3.243,3.597,1,1,1,"O'ahu Island",10
4004,"extrapolated",1,3.42,3.243,3.597,1,1,1,"O'ahu Island",10
10000,"extrapolated",1,3.426,3.249,3.603,1,1,1,"O'ahu Island",10
1000,"interpolated",2,1.818,1.751,1.884,0.999,0.999,1,"O'ahu Island",10
4002,"interpolated",2,1.819,1.752,1.886,1,1,1,"O'ahu Island",10
4003,"observed",2,1.819,1.752,1.886,1,1,1,"O'ahu Island",10
4004,"extrapolated",2,1.819,1.752,1.886,1,1,1,"O'ahu Island",10
10000,"extrapolated",2,1.819,1.752,1.886,1,1,1,"O'ahu Island",10
1000,"interpolated",0,9.64,9.541,9.738,0.999,0.999,0.999,"Hawai'i Island",11
10000,"interpolated",0,10,10,10,1,1,1,"Hawai'i Island",11
1000,"interpolated",1,3.288,3.257,3.32,0.999,0.999,0.999,"Hawai'i Island",11
10000,"interpolated",1,3.302,3.271,3.334,1,1,1,"Hawai'i Island",11
1000,"interpolated",2,2.181,2.16,2.202,0.999,0.999,0.999,"Hawai'i Island",11
10000,"interpolated",2,2.183,2.162,2.204,1,1,1,"Hawai'i Island",11
1000,"interpolated",0,26.935,26.135,27.735,0.993,0.993,0.994,"Kaua'i Island",11
10000,"interpolated",0,34.998,34.918,35.078,1,1,1,"Kaua'i Island",11
1000,"interpolated",1,6.896,6.797,6.994,0.993,0.993,0.994,"Kaua'i Island",11
10000,"interpolated",1,7.01,6.91,7.111,1,1,1,"Kaua'i Island",11
1000,"interpolated",2,4.619,4.543,4.694,0.993,0.993,0.994,"Kaua'i Island",11
10000,"interpolated",2,4.634,4.558,4.71,1,1,1,"Kaua'i Island",11
1000,"interpolated",0,22.497,21.857,23.137,0.997,0.997,0.997,"Maui Nui",11
10000,"interpolated",0,26,25.98,26.02,1,1,1,"Maui Nui",11
1000,"interpolated",1,7.031,6.911,7.152,0.997,0.997,0.997,"Maui Nui",11
10000,"interpolated",1,7.116,6.994,7.238,1,1,1,"Maui Nui",11
1000,"interpolated",2,4.058,3.974,4.141,0.997,0.997,0.997,"Maui Nui",11
10000,"interpolated",2,4.069,3.984,4.153,1,1,1,"Maui Nui",11
1000,"interpolated",0,18.375,17.974,18.777,0.996,0.996,0.996,"O'ahu Island",11
10000,"interpolated",0,21.999,21.99,22.009,1,1,1,"O'ahu Island",11
1000,"interpolated",1,3.614,3.535,3.692,0.996,0.996,0.996,"O'ahu Island",11
10000,"interpolated",1,3.651,3.572,3.731,1,1,1,"O'ahu Island",11
1000,"interpolated",2,2.242,2.201,2.283,0.996,0.996,0.996,"O'ahu Island",11
10000,"interpolated",2,2.244,2.203,2.286,1,1,1,"O'ahu Island",11
1000,"interpolated",0,12.962,12.709,13.214,0.999,0.999,0.999,"Hawai'i Island",12
10000,"interpolated",0,14,13.992,14.007,1,1,1,"Hawai'i Island",12
1000,"interpolated",1,4.395,4.33,4.46,0.999,0.999,0.999,"Hawai'i Island",12
10000,"interpolated",1,4.422,4.356,4.488,1,1,1,"Hawai'i Island",12
1000,"interpolated",2,3.158,3.11,3.205,0.999,0.999,0.999,"Hawai'i Island",12
10000,"interpolated",2,3.164,3.116,3.212,1,1,1,"Hawai'i Island",12
1000,"interpolated",0,20.142,19.736,20.548,0.998,0.998,0.999,"Kaua'i Island",12
8440,"interpolated",0,21,21,21,1,1,1,"Kaua'i Island",12
8441,"observed",0,21,21,21,1,1,1,"Kaua'i Island",12
8442,"extrapolated",0,21,21,21,1,1,1,"Kaua'i Island",12
10000,"extrapolated",0,21,21,21,1,1,1,"Kaua'i Island",12
1000,"interpolated",1,5.343,5.202,5.484,0.998,0.998,0.999,"Kaua'i Island",12
8440,"interpolated",1,5.393,5.251,5.536,1,1,1,"Kaua'i Island",12
8441,"observed",1,5.393,5.251,5.536,1,1,1,"Kaua'i Island",12
8442,"extrapolated",1,5.393,5.251,5.536,1,1,1,"Kaua'i Island",12
10000,"extrapolated",1,5.394,5.252,5.537,1,1,1,"Kaua'i Island",12
1000,"interpolated",2,3.242,3.142,3.342,0.998,0.998,0.999,"Kaua'i Island",12
8440,"interpolated",2,3.248,3.147,3.349,1,1,1,"Kaua'i Island",12
8441,"observed",2,3.248,3.147,3.349,1,1,1,"Kaua'i Island",12
8442,"extrapolated",2,3.248,3.147,3.349,1,1,1,"Kaua'i Island",12
10000,"extrapolated",2,3.248,3.148,3.349,1,1,1,"Kaua'i Island",12
1000,"interpolated",0,12.487,12.171,12.803,0.999,0.998,0.999,"Maui Nui",12
10000,"interpolated",0,14,13.977,14.022,1,1,1,"Maui Nui",12
1000,"interpolated",1,4.501,4.431,4.571,0.999,0.998,0.999,"Maui Nui",12
10000,"interpolated",1,4.529,4.458,4.599,1,1,1,"Maui Nui",12
1000,"interpolated",2,3.119,3.075,3.162,0.999,0.998,0.999,"Maui Nui",12
10000,"interpolated",2,3.125,3.081,3.168,1,1,1,"Maui Nui",12
1000,"interpolated",0,22.526,21.906,23.147,0.996,0.996,0.997,"O'ahu Island",12
10000,"interpolated",0,25,25,25,1,1,1,"O'ahu Island",12
1000,"interpolated",1,5.794,5.656,5.933,0.996,0.996,0.997,"O'ahu Island",12
10000,"interpolated",1,5.863,5.723,6.003,1,1,1,"O'ahu Island",12
1000,"interpolated",2,4.014,3.925,4.102,0.996,0.996,0.997,"O'ahu Island",12
10000,"interpolated",2,4.025,3.936,4.114,1,1,1,"O'ahu Island",12
1000,"interpolated",0,13.232,13.028,13.435,0.999,0.999,0.999,"Hawai'i Island",13
10000,"interpolated",0,14,13.999,14.001,1,1,1,"Hawai'i Island",13
1000,"interpolated",1,6.057,5.972,6.141,0.999,0.999,0.999,"Hawai'i Island",13
10000,"interpolated",1,6.094,6.009,6.179,1,1,1,"Hawai'i Island",13
1000,"interpolated",2,4.427,4.369,4.484,0.999,0.999,0.999,"Hawai'i Island",13
10000,"interpolated",2,4.44,4.382,4.498,1,1,1,"Hawai'i Island",13
1000,"interpolated",0,26.802,26.045,27.558,0.993,0.993,0.993,"Kaua'i Island",13
