"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"1",1,"interpolated",0,1,1,1,0.283,0.278,0.287,"Maui Nui","1",1.01981110409481
"2",100,"interpolated",0,11.67,11.486,11.854,0.961,0.96,0.962,"Maui Nui","1",8.06753997015173
"3",200,"interpolated",0,14.414,14.159,14.67,0.98,0.98,0.981,"Maui Nui","1",9.75720113978417
"4",300,"interpolated",0,15.986,15.695,16.276,0.987,0.987,0.988,"Maui Nui","1",10.6052504077115
"5",400,"interpolated",0,17.038,16.729,17.347,0.991,0.991,0.992,"Maui Nui","1",11.4202499144328
"6",500,"interpolated",0,17.796,17.476,18.117,0.993,0.993,0.994,"Maui Nui","1",11.7793426865683
"7",600,"interpolated",0,18.368,18.039,18.697,0.995,0.995,0.995,"Maui Nui","1",12.313873455365
"8",700,"interpolated",0,18.815,18.478,19.151,0.996,0.996,0.996,"Maui Nui","1",12.4950799705531
"9",800,"interpolated",0,19.173,18.83,19.516,0.997,0.996,0.997,"Maui Nui","1",12.8501873565543
"10",900,"interpolated",0,19.467,19.117,19.816,0.997,0.997,0.998,"Maui Nui","1",12.9943040008188
"11",1000,"interpolated",0,19.713,19.358,20.068,0.998,0.997,0.998,"Maui Nui","1",13.1989199939679
"12",1,"interpolated",0,1,1,1,0.299,0.294,0.303,"Maui Nui","2",1.01981110409481
"13",100,"interpolated",0,7.738,7.588,7.887,0.981,0.98,0.982,"Maui Nui","2",8.06753997015173
"14",200,"interpolated",0,9.169,8.951,9.388,0.989,0.988,0.99,"Maui Nui","2",9.75720113978417
"15",300,"interpolated",0,10.068,9.808,10.328,0.993,0.992,0.993,"Maui Nui","2",10.6052504077115
"16",400,"interpolated",0,10.703,10.416,10.99,0.995,0.994,0.995,"Maui Nui","2",11.4202499144328
"17",500,"interpolated",0,11.178,10.874,11.483,0.996,0.995,0.996,"Maui Nui","2",11.7793426865683
"18",600,"interpolated",0,11.547,11.229,11.865,0.997,0.996,0.997,"Maui Nui","2",12.313873455365
"19",700,"interpolated",0,11.841,11.513,12.169,0.997,0.997,0.998,"Maui Nui","2",12.4950799705531
"20",800,"interpolated",0,12.08,11.743,12.416,0.998,0.998,0.998,"Maui Nui","2",12.8501873565543
"21",900,"interpolated",0,12.277,11.933,12.622,0.998,0.998,0.998,"Maui Nui","2",12.9943040008188
"22",1000,"interpolated",0,12.443,12.092,12.795,0.998,0.998,0.999,"Maui Nui","2",13.1989199939679
"23",1,"interpolated",0,1,1,1,0.243,0.239,0.246,"Maui Nui","3",1.01981110409481
"24",100,"interpolated",0,9.181,9.003,9.358,0.975,0.974,0.976,"Maui Nui","3",8.06753997015173
"25",200,"interpolated",0,10.961,10.689,11.234,0.987,0.986,0.988,"Maui Nui","3",9.75720113978417
"26",300,"interpolated",0,12.037,11.701,12.372,0.991,0.99,0.992,"Maui Nui","3",10.6052504077115
"27",400,"interpolated",0,12.814,12.439,13.19,0.993,0.993,0.994,"Maui Nui","3",11.4202499144328
"28",500,"interpolated",0,13.418,13.017,13.818,0.995,0.994,0.995,"Maui Nui","3",11.7793426865683
"29",600,"interpolated",0,13.903,13.488,14.318,0.996,0.995,0.996,"Maui Nui","3",12.313873455365
"30",700,"interpolated",0,14.301,13.878,14.723,0.996,0.996,0.997,"Maui Nui","3",12.4950799705531
"31",800,"interpolated",0,14.631,14.205,15.057,0.997,0.997,0.997,"Maui Nui","3",12.8501873565543
"32",900,"interpolated",0,14.908,14.483,15.334,0.997,0.997,0.998,"Maui Nui","3",12.9943040008188
"33",1000,"interpolated",0,15.143,14.719,15.567,0.998,0.998,0.998,"Maui Nui","3",13.1989199939679
"34",1,"interpolated",0,1,1,1,0.292,0.287,0.297,"Maui Nui","4",1.01981110409481
"35",100,"interpolated",0,7.6,7.438,7.763,0.981,0.98,0.982,"Maui Nui","4",8.06753997015173
"36",200,"interpolated",0,9.019,8.811,9.227,0.99,0.989,0.99,"Maui Nui","4",9.75720113978417
"37",300,"interpolated",0,9.826,9.6,10.052,0.994,0.993,0.994,"Maui Nui","4",10.6052504077115
"38",400,"interpolated",0,10.327,10.092,10.562,0.996,0.996,0.996,"Maui Nui","4",11.4202499144328
"39",500,"interpolated",0,10.66,10.421,10.899,0.997,0.997,0.998,"Maui Nui","4",11.7793426865683
"40",600,"interpolated",0,10.895,10.654,11.137,0.998,0.998,0.998,"Maui Nui","4",12.313873455365
"41",700,"interpolated",0,11.069,10.825,11.312,0.998,0.998,0.999,"Maui Nui","4",12.4950799705531
"42",800,"interpolated",0,11.202,10.957,11.447,0.999,0.999,0.999,"Maui Nui","4",12.8501873565543
"43",900,"interpolated",0,11.308,11.062,11.555,0.999,0.999,0.999,"Maui Nui","4",12.9943040008188
"44",1000,"interpolated",0,11.394,11.147,11.642,0.999,0.999,0.999,"Maui Nui","4",13.1989199939679
"45",1,"interpolated",0,1,1,1,0.346,0.34,0.351,"Maui Nui","5",1.01981110409481
"46",100,"interpolated",0,7.868,7.686,8.05,0.974,0.973,0.976,"Maui Nui","5",8.06753997015173
"47",200,"interpolated",0,9.919,9.643,10.195,0.983,0.982,0.984,"Maui Nui","5",9.75720113978417
"48",300,"interpolated",0,11.354,11.024,11.684,0.988,0.987,0.988,"Maui Nui","5",10.6052504077115
"49",400,"interpolated",0,12.432,12.069,12.795,0.991,0.99,0.991,"Maui Nui","5",11.4202499144328
"50",500,"interpolated",0,13.269,12.886,13.652,0.993,0.992,0.993,"Maui Nui","5",11.7793426865683
"51",600,"interpolated",0,13.935,13.54,14.33,0.994,0.994,0.994,"Maui Nui","5",12.313873455365
"52",700,"interpolated",0,14.474,14.072,14.877,0.995,0.995,0.995,"Maui Nui","5",12.4950799705531
"53",800,"interpolated",0,14.917,14.511,15.323,0.996,0.996,0.996,"Maui Nui","5",12.8501873565543
"54",900,"interpolated",0,15.285,14.877,15.692,0.997,0.996,0.997,"Maui Nui","5",12.9943040008188
"55",1000,"interpolated",0,15.593,15.186,16,0.997,0.997,0.997,"Maui Nui","5",13.1989199939679
"56",1,"interpolated",0,1,1,1,0.294,0.286,0.302,"Maui Nui","6",1.01981110409481
"57",100,"interpolated",0,10.765,10.608,10.922,0.979,0.978,0.98,"Maui Nui","6",8.06753997015173
"58",200,"interpolated",0,12.234,12.007,12.46,0.989,0.989,0.99,"Maui Nui","6",9.75720113978417
"59",300,"interpolated",0,13.103,12.838,13.369,0.993,0.992,0.993,"Maui Nui","6",10.6052504077115
"60",400,"interpolated",0,13.702,13.411,13.993,0.995,0.994,0.995,"Maui Nui","6",11.4202499144328
"61",500,"interpolated",0,14.145,13.834,14.455,0.996,0.996,0.997,"Maui Nui","6",11.7793426865683
"62",600,"interpolated",0,14.488,14.161,14.815,0.997,0.997,0.997,"Maui Nui","6",12.313873455365
"63",700,"interpolated",0,14.763,14.422,15.104,0.998,0.997,0.998,"Maui Nui","6",12.4950799705531
"64",800,"interpolated",0,14.991,14.638,15.343,0.998,0.998,0.998,"Maui Nui","6",12.8501873565543
"65",900,"interpolated",0,15.183,14.821,15.545,0.998,0.998,0.998,"Maui Nui","6",12.9943040008188
"66",1000,"interpolated",0,15.348,14.978,15.719,0.998,0.998,0.999,"Maui Nui","6",13.1989199939679
"67",1,"interpolated",0,1,1,1,0.321,0.316,0.326,"Maui Nui","7",1.01981110409481
"68",100,"interpolated",0,8.083,7.9,8.267,0.976,0.975,0.977,"Maui Nui","7",8.06753997015173
"69",200,"interpolated",0,9.838,9.612,10.064,0.987,0.987,0.988,"Maui Nui","7",9.75720113978417
