"geo_entity2","index","value","PlotID","Iteration"
"Hawai'i Island","beta_S",3.2,"82",1
"Hawai'i Island","beta_S",8,"87",1
"Hawai'i Island","beta_S",1.77777777777778,"128",1
"Hawai'i Island","beta_S",2.66666666666667,"138",1
"Hawai'i Island","beta_S",3.2,"205",1
"Hawai'i Island","beta_S",16,"244",1
"Hawai'i Island","beta_S",2.28571428571429,"292",1
"Hawai'i Island","beta_S",4,"329",1
"Hawai'i Island","beta_S",16,"443",1
"Hawai'i Island","beta_S",16,"472",1
"Kaua'i Island","beta_S",2.42105263157895,"196",1
"Kaua'i Island","beta_S",5.75,"223",1
"Kaua'i Island","beta_S",2.875,"287",1
"Kaua'i Island","beta_S",5.11111111111111,"295",1
"Kaua'i Island","beta_S",15.3333333333333,"304",1
"Kaua'i Island","beta_S",23,"337",1
"Kaua'i Island","beta_S",15.3333333333333,"339",1
"Kaua'i Island","beta_S",11.5,"341",1
"Kaua'i Island","beta_S",11.5,"454",1
"Kaua'i Island","beta_S",23,"523",1
"Maui Nui","beta_S",2.55555555555556,"15",1
"Maui Nui","beta_S",7.66666666666667,"27",1
"Maui Nui","beta_S",5.75,"49",1
"Maui Nui","beta_S",5.75,"146",1
"Maui Nui","beta_S",3.83333333333333,"161",1
"Maui Nui","beta_S",7.66666666666667,"348",1
"Maui Nui","beta_S",3.83333333333333,"350",1
"Maui Nui","beta_S",3.83333333333333,"356",1
"Maui Nui","beta_S",7.66666666666667,"358",1
"Maui Nui","beta_S",11.5,"515",1
"O'ahu Island","beta_S",3.88888888888889,"1",1
"O'ahu Island","beta_S",2.5,"143",1
"O'ahu Island","beta_S",11.6666666666667,"229",1
"O'ahu Island","beta_S",7,"320",1
"O'ahu Island","beta_S",5,"359",1
"O'ahu Island","beta_S",7,"437",1
"O'ahu Island","beta_S",7,"438",1
"O'ahu Island","beta_S",8.75,"461",1
"O'ahu Island","beta_S",17.5,"464",1
"O'ahu Island","beta_S",11.6666666666667,"522",1
"Hawai'i Island","beta_S_PIE",1.17409572095943,"82",1
"Hawai'i Island","beta_S_PIE",2.21433294242994,"87",1
"Hawai'i Island","beta_S_PIE",1.37900150242961,"128",1
"Hawai'i Island","beta_S_PIE",2.47639573073431,"138",1
"Hawai'i Island","beta_S_PIE",1.31544760072659,"205",1
"Hawai'i Island","beta_S_PIE",3.57004698881561,"244",1
"Hawai'i Island","beta_S_PIE",1.26528197429824,"292",1
"Hawai'i Island","beta_S_PIE",2.50542981009843,"329",1
"Hawai'i Island","beta_S_PIE",3.57004698881561,"443",1
"Hawai'i Island","beta_S_PIE",3.57004698881561,"472",1
"Kaua'i Island","beta_S_PIE",0.254788079549639,"196",1
"Kaua'i Island","beta_S_PIE",0.823499567226986,"223",1
"Kaua'i Island","beta_S_PIE",0.332365715850383,"287",1
"Kaua'i Island","beta_S_PIE",0.487183757887891,"295",1
"Kaua'i Island","beta_S_PIE",1.06756828171737,"304",1
"Kaua'i Island","beta_S_PIE",2.05273122811008,"337",1
"Kaua'i Island","beta_S_PIE",1.4151231226378,"339",1
"Kaua'i Island","beta_S_PIE",0.598449599851041,"341",1
"Kaua'i Island","beta_S_PIE",1.32157910055894,"454",1
"Kaua'i Island","beta_S_PIE",1.95513447468052,"523",1
"Maui Nui","beta_S_PIE",1.00026228719111,"15",1
"Maui Nui","beta_S_PIE",2.63401892228746,"27",1
"Maui Nui","beta_S_PIE",1.41468943564404,"49",1
"Maui Nui","beta_S_PIE",3.88161936284974,"146",1
"Maui Nui","beta_S_PIE",1.85541694411333,"161",1
"Maui Nui","beta_S_PIE",1.89333955885125,"348",1
"Maui Nui","beta_S_PIE",5.062422413635,"350",1
"Maui Nui","beta_S_PIE",2.51570479442593,"356",1
"Maui Nui","beta_S_PIE",2.75154873997539,"358",1
"Maui Nui","beta_S_PIE",2.87235700418515,"515",1
"O'ahu Island","beta_S_PIE",1.8859058193853,"1",1
"O'ahu Island","beta_S_PIE",2.6617048740002,"143",1
"O'ahu Island","beta_S_PIE",3.54240758474186,"229",1
"O'ahu Island","beta_S_PIE",3.52637203566908,"320",1
"O'ahu Island","beta_S_PIE",2.14986688788862,"359",1
"O'ahu Island","beta_S_PIE",3.15432390157656,"437",1
"O'ahu Island","beta_S_PIE",4.15299377352738,"438",1
"O'ahu Island","beta_S_PIE",4.10160175626584,"461",1
"O'ahu Island","beta_S_PIE",6.46329791833989,"464",1
"O'ahu Island","beta_S_PIE",6.4785831740919,"522",1
"Hawai'i Island","beta_S",9,"14",2
"Hawai'i Island","beta_S",3.6,"90",2
"Hawai'i Island","beta_S",2.57142857142857,"132",2
"Hawai'i Island","beta_S",4.5,"181",2
"Hawai'i Island","beta_S",18,"213",2
"Hawai'i Island","beta_S",3.6,"225",2
"Hawai'i Island","beta_S",18,"254",2
"Hawai'i Island","beta_S",3,"311",2
"Hawai'i Island","beta_S",6,"432",2
"Hawai'i Island","beta_S",9,"453",2
"Kaua'i Island","beta_S",2.8,"194",2
"Kaua'i Island","beta_S",3.81818181818182,"195",2
"Kaua'i Island","beta_S",2.21052631578947,"196",2
"Kaua'i Island","beta_S",5.25,"230",2
"Kaua'i Island","beta_S",10.5,"282",2
"Kaua'i Island","beta_S",14,"327",2
"Kaua'i Island","beta_S",21,"337",2
"Kaua'i Island","beta_S",10.5,"341",2
"Kaua'i Island","beta_S",10.5,"454",2
"Kaua'i Island","beta_S",14,"462",2
"Maui Nui","beta_S",3.85714285714286,"23",2
"Maui Nui","beta_S",3,"25",2
"Maui Nui","beta_S",13.5,"151",2
"Maui Nui","beta_S",6.75,"168",2
"Maui Nui","beta_S",2.7,"174",2
"Maui Nui","beta_S",5.4,"343",2
"Maui Nui","beta_S",9,"348",2
"Maui Nui","beta_S",5.4,"357",2
"Maui Nui","beta_S",9,"407",2
"Maui Nui","beta_S",6.75,"439",2
"O'ahu Island","beta_S",2.45454545454545,"173",2
"O'ahu Island","beta_S",9,"229",2
"O'ahu Island","beta_S",13.5,"314",2
"O'ahu Island","beta_S",4.5,"319",2
"O'ahu Island","beta_S",6.75,"342",2
"O'ahu Island","beta_S",3.85714285714286,"359",2
"O'ahu Island","beta_S",5.4,"376",2
"O'ahu Island","beta_S",9,"456",2
"O'ahu Island","beta_S",13.5,"457",2
"O'ahu Island","beta_S",9,"522",2
"Hawai'i Island","beta_S_PIE",1.87535627606481,"14",2
"Hawai'i Island","beta_S_PIE",0.548023412339611,"90",2
"Hawai'i Island","beta_S_PIE",1.93543350669789,"132",2
"Hawai'i Island","beta_S_PIE",0.987487596515201,"181",2
"Hawai'i Island","beta_S_PIE",2.37831519724084,"213",2
"Hawai'i Island","beta_S_PIE",0.664939249043131,"225",2
"Hawai'i Island","beta_S_PIE",2.37831519724084,"254",2
"Hawai'i Island","beta_S_PIE",0.957090941360671,"311",2
"Hawai'i Island","beta_S_PIE",2.15029703536021,"432",2
"Hawai'i Island","beta_S_PIE",1.91072722426795,"453",2
"Kaua'i Island","beta_S_PIE",0.233143695306709,"194",2
"Kaua'i Island","beta_S_PIE",0.516938433231948,"195",2
"Kaua'i Island","beta_S_PIE",0.279076125557652,"196",2
"Kaua'i Island","beta_S_PIE",0.767488340697296,"230",2
"Kaua'i Island","beta_S_PIE",1.13889498015209,"282",2
"Kaua'i Island","beta_S_PIE",2.08384444651635,"327",2
"Kaua'i Island","beta_S_PIE",2.24841083211098,"337",2
"Kaua'i Island","beta_S_PIE",0.655497682478579,"341",2
"Kaua'i Island","beta_S_PIE",1.44756055955946,"454",2
"Kaua'i Island","beta_S_PIE",1.90830315571234,"462",2
"Maui Nui","beta_S_PIE",2.379562153139,"23",2
"Maui Nui","beta_S_PIE",1.21519245018799,"25",2
"Maui Nui","beta_S_PIE",4.86288373728795,"151",2
"Maui Nui","beta_S_PIE",2.99556129052335,"168",2
"Maui Nui","beta_S_PIE",1.38791770875246,"174",2
"Maui Nui","beta_S_PIE",3.87195618613375,"343",2
"Maui Nui","beta_S_PIE",1.76161865771762,"348",2
"Maui Nui","beta_S_PIE",1.47867202242168,"357",2
"Maui Nui","beta_S_PIE",3.077958858289,"407",2
"Maui Nui","beta_S_PIE",1.85534465331541,"439",2
"O'ahu Island","beta_S_PIE",3.99991224178293,"173",2
"O'ahu Island","beta_S_PIE",3.8122033768872,"229",2
"O'ahu Island","beta_S_PIE",3.95642909675494,"314",2
"O'ahu Island","beta_S_PIE",1.90748761254091,"319",2
"O'ahu Island","beta_S_PIE",6.42107093844559,"342",2
"O'ahu Island","beta_S_PIE",2.31360440994093,"359",2
"O'ahu Island","beta_S_PIE",2.68897307114228,"376",2
"O'ahu Island","beta_S_PIE",5.61151353703097,"456",2
"O'ahu Island","beta_S_PIE",6.09391180769859,"457",2
"O'ahu Island","beta_S_PIE",6.97200309758187,"522",2
"Hawai'i Island","beta_S",5,"99",3
"Hawai'i Island","beta_S",2.5,"189",3
"Hawai'i Island","beta_S",5,"235",3
"Hawai'i Island","beta_S",6.66666666666667,"258",3
"Hawai'i Island","beta_S",5,"281",3
"Hawai'i Island","beta_S",6.66666666666667,"360",3
"Hawai'i Island","beta_S",6.66666666666667,"367",3
"Hawai'i Island","beta_S",6.66666666666667,"392",3
"Hawai'i Island","beta_S",10,"487",3
"Hawai'i Island","beta_S",10,"517",3
"Kaua'i Island","beta_S",3,"194",3
"Kaua'i Island","beta_S",2.36842105263158,"196",3
"Kaua'i Island","beta_S",5.625,"230",3
"Kaua'i Island","beta_S",5,"295",3
"Kaua'i Island","beta_S",11.25,"308",3
"Kaua'i Island","beta_S",22.5,"337",3
"Kaua'i Island","beta_S",15,"339",3
"Kaua'i Island","beta_S",11.25,"341",3
"Kaua'i Island","beta_S",22.5,"460",3
"Kaua'i Island","beta_S",22.5,"523",3
"Maui Nui","beta_S",2.625,"35",3
"Maui Nui","beta_S",5.25,"41",3
"Maui Nui","beta_S",4.2,"152",3
"Maui Nui","beta_S",4.2,"165",3
"Maui Nui","beta_S",3.5,"167",3
"Maui Nui","beta_S",5.25,"172",3
"Maui Nui","beta_S",4.2,"343",3
"Maui Nui","beta_S",4.2,"357",3
"Maui Nui","beta_S",7,"358",3
