"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,15.008,14.776,15.241,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",0,15.999,15.984,16.015,1,1,1,"Hawai'i Island",1
1000,"interpolated",1,5.062,4.975,5.149,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",1,5.098,5.011,5.185,1,1,1,"Hawai'i Island",1
1000,"interpolated",2,3.561,3.506,3.615,0.999,0.999,0.999,"Hawai'i Island",1
10000,"interpolated",2,3.569,3.514,3.624,1,1,1,"Hawai'i Island",1
1000,"interpolated",0,26.878,26.35,27.406,0.992,0.991,0.992,"Kaua'i Island",1
10000,"interpolated",0,44.425,43.734,45.115,1,1,1,"Kaua'i Island",1
1000,"interpolated",1,3.962,3.916,4.008,0.992,0.991,0.992,"Kaua'i Island",1
10000,"interpolated",1,4.038,3.991,4.086,1,1,1,"Kaua'i Island",1
1000,"interpolated",2,2.114,2.09,2.138,0.992,0.991,0.992,"Kaua'i Island",1
10000,"interpolated",2,2.116,2.092,2.141,1,1,1,"Kaua'i Island",1
1000,"interpolated",0,18.525,18.232,18.819,0.997,0.997,0.997,"Maui Nui",1
10000,"interpolated",0,22.883,22.756,23.01,1,1,1,"Maui Nui",1
1000,"interpolated",1,7.176,7.128,7.224,0.997,0.997,0.997,"Maui Nui",1
10000,"interpolated",1,7.249,7.201,7.298,1,1,1,"Maui Nui",1
1000,"interpolated",2,5.519,5.48,5.558,0.997,0.997,0.997,"Maui Nui",1
10000,"interpolated",2,5.541,5.502,5.581,1,1,1,"Maui Nui",1
1000,"interpolated",0,25.452,24.962,25.942,0.994,0.994,0.994,"O'ahu Island",1
10000,"interpolated",0,34.442,33.974,34.911,1,1,1,"O'ahu Island",1
1000,"interpolated",1,8.914,8.846,8.983,0.994,0.994,0.994,"O'ahu Island",1
10000,"interpolated",1,9.053,8.982,9.124,1,1,1,"O'ahu Island",1
1000,"interpolated",2,6.815,6.766,6.864,0.994,0.994,0.994,"O'ahu Island",1
10000,"interpolated",2,6.851,6.802,6.9,1,1,1,"O'ahu Island",1
1000,"interpolated",0,17.181,16.986,17.375,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",0,17.999,17.953,18.045,1,1,1,"Hawai'i Island",2
1000,"interpolated",1,3.569,3.506,3.633,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",1,3.598,3.534,3.662,1,1,1,"Hawai'i Island",2
1000,"interpolated",2,2.375,2.343,2.407,0.999,0.999,0.999,"Hawai'i Island",2
10000,"interpolated",2,2.378,2.346,2.41,1,1,1,"Hawai'i Island",2
1000,"interpolated",0,29.34,28.768,29.912,0.992,0.992,0.992,"Kaua'i Island",2
10000,"interpolated",0,41.452,41.018,41.885,1,1,1,"Kaua'i Island",2
1000,"interpolated",1,4.181,4.127,4.235,0.992,0.992,0.992,"Kaua'i Island",2
