Species,Family,group,status,status2,Woodiness,Source,Growth habit
Abelmoschus moschatus,Malvaceae,Dicot,nat,exotic,H,Cornwell2014,
Abrus precatorius,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Abutilon auritum,Malvaceae,Dicot,nat,exotic,W,Cornwell2014,
Abutilon eremitopetalum,Malvaceae,Dicot,end,native,W,SI,shrub
Abutilon grandifolium,Malvaceae,Dicot,nat,exotic,W,SI,shrub
Abutilon incanum,Malvaceae,Dicot,ind,native,H,USDA,herb
Abutilon indicum,Malvaceae,Dicot,nat,exotic,H,Cornwell2014,
Abutilon menziesii,Malvaceae,Dicot,end,native,W,SI,shrub
Abutilon sandwicense,Malvaceae,Dicot,end,native,W,USDA,shrub
Acacia aneura,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Acacia catechu,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Acacia confusa,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Acacia koa,Leguminosae,Dicot,end,native,W,Cornwell2014,
Acacia koaia,Leguminosae,Dicot,end,native,W,USDA,tree
Acacia mangium,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Acacia mearnsii,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Acacia melanoxylon,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Acacia parramattensis,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Acaena exigua,Rosaceae,Dicot,end,native,H,USDA,herb
Acanthocereus tetragonus,Cactaceae,Dicot,nat,exotic,W,USDA,shrub/vine
Acanthospermum australe,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Acanthospermum hispidum,Compositae,Dicot,nat,exotic,H,USDA,herb
Achillea millefolium,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Achyranthes aspera,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Achyranthes atollensis,Amaranthaceae,Dicot,end,native,W,USDA,shrub
Achyranthes mutica,Amaranthaceae,Dicot,end,native,W,USDA,shrub
Achyranthes splendens,Amaranthaceae,Dicot,end,native,W,USDA,shrub
Adenanthera pavonina,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Adenostemma viscosum,Compositae,Dicot,ind,native,H,USDA,herb
Aeschynomene paniculata,Leguminosae,Dicot,nat,exotic,H,USDA,herb
Agave sisalana,Asparagaceae,Monocot,nat,exotic,variable,HEAR,woody herb
Ageratina adenophora,Compositae,Dicot,nat,exotic,variable,HEAR,subshrub
Ageratina riparia,Compositae,Dicot,nat,exotic,W,Cornwell2014,
Ageratum conyzoides,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Ageratum houstonianum,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Aglaonema commutatum,Araceae,Monocot,nat,exotic,H,USDA,herb
Agrostis capillaris,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Agrostis hyemalis,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Agrostis sandwicensis,Poaceae,Monocot,end,native,H,USDA,grass
Agrostis stolonifera,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Ailanthus altissima,Scrophulariaceae,Dicot,nat,exotic,W,Cornwell2014,
Aira caryophyllea,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Albizia chinensis,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Albizia lebbeck,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Albizia niopoides,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Albizia saponaria,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Alectryon macrococcus,Sapindaceae,Dicot,end,native,W,USDA,tree
Aleurites moluccana,Euphorbiaceae,Dicot,pol,exotic,W,Cornwell2014,
Aleurites montana,Euphorbiaceae,Dicot,nat,exotic,W,Cornwell2014,
Alnus nepalensis,Betulaceae,Dicot,nat,exotic,W,Cornwell2014,
Alocasia cucullata,Araceae,Monocot,nat,exotic,H,HEAR,herb
Alocasia macrorrhizos,Araceae,Monocot,pol,exotic,H,Cornwell2014,
Aloe vera,Xanthorrhoeaceae,Monocot,nat,exotic,H,Cornwell2014,
Alphitonia excelsa,Rhamnaceae,Dicot,nat,exotic,W,Cornwell2014,
Alphitonia ponderosa,Rhamnaceae,Dicot,end,native,W,USDA,tree
Alpinia mutica,Zingiberaceae,Monocot,nat,exotic,H,Cornwell2014,
Alpinia purpurata,Zingiberaceae,Monocot,nat,exotic,H,Cornwell2014,
Alpinia zerumbet,Zingiberaceae,Monocot,nat,exotic,H,Cornwell2014,
Alstonia macrophylla,Apocynaceae,Dicot,nat,exotic,W,Cornwell2014,
Alternanthera brasiliana,Amaranthaceae,Dicot,nat,exotic,H,USDA,herb
Alternanthera caracasana,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Alternanthera pungens,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Alternanthera sessilis,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Alternanthera tenella,Amaranthaceae,Dicot,nat,exotic,H,USDA,herb
Alysicarpus vaginalis,Leguminosae,Dicot,nat,exotic,H,SI,herb
Alyxia stellata,Apocynaceae,Dicot,ind,native,W,SI,liana
Amaranthus brownii,Amaranthaceae,Dicot,end,native,H,USDA,herb
Amaranthus dubius,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Amaranthus graecizans,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Amaranthus hybridus,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Amaranthus lividus,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Amaranthus retroflexus,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Amaranthus spinosus,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Amaranthus viridis,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Ambrosia artemisiifolia,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Ammannia coccinea,Lythraceae,Dicot,nat,exotic,variable,HEAR,herb/subshrub
Amsinckia intermedia,Boraginaceae,Dicot,nat,exotic,H,SI,herb
Anagallis arvensis,Primulaceae,Dicot,nat,exotic,H,Cornwell2014,
Andropogon bicornis,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Andropogon glomeratus,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Andropogon virginicus,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Anemone hupehensis,Ranunculaceae,Dicot,nat,exotic,H,Cornwell2014,
Anethum graveolens,Apiaceae,Dicot,nat,exotic,H,Cornwell2014,
Angophora costata,Myrtaceae,Dicot,nat,exotic,W,Cornwell2014,
Annona cherimola,Annonaceae,Dicot,nat,exotic,W,Cornwell2014,
Annona muricata,Annonaceae,Dicot,nat,exotic,W,Cornwell2014,
Anoectochilus sandvicensis,Orchidaceae,Monocot,end,native,H,USDA,herb
Anredera cordifolia,Basellaceae,Dicot,nat,exotic,variable,Cornwell2014,
Anthemis cotula,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Anthephora hermaphrodita,Poaceae,Monocot,nat,exotic,H,USDA,grass
Anthoxanthum odoratum,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Antidesma platyphyllum,Euphorbiaceae,Dicot,end,native,W,USDA,tree
Antidesma pulvinatum,Euphorbiaceae,Dicot,end,native,W,Cornwell2014,
Antigonon leptopus,Polygonaceae,Dicot,nat,exotic,W,Cornwell2014,
Antirrhinum orontium,Scrophulariaceae,Dicot,nat,exotic,H,USDA,herb
Aphelandra aurantiaca,Acanthaceae,Dicot,nat,exotic,H,https://www.researchgate.net/publication/12851219_Predispersal_Predation_of_an_Understory_Rainforest_Herb_Aphelandra_aurantiaca_Acanthaceae_in_Gaps_and_Mature_Forest,herb
Archontophoenix alexandrae,Arecaceae,Monocot,nat,exotic,W,Cornwell2014,
Arctium lappa,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Arctotheca calendula,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Ardisia crenata,Primulaceae,Dicot,nat,exotic,W,Cornwell2014,
Ardisia elliptica,Primulaceae,Dicot,nat,exotic,W,Cornwell2014,
Arenaria serpyllifolia,Caryophyllaceae,Dicot,nat,exotic,H,Cornwell2014,
Arenga pinnata,Arecaceae,Monocot,nat,exotic,W,Cornwell2014,
Argemone glauca,Papaveraceae,Dicot,end,native,H,USDA,herb
Argemone mexicana,Papaveraceae,Dicot,nat,exotic,H,Cornwell2014,
Argyreia nervosa,Convolvulaceae,Dicot,nat,exotic,variable,Cornwell2014,
Argyroxiphium caliginis,Compositae,Dicot,end,native,W,SI,shrub
Argyroxiphium grayanum,Compositae,Dicot,end,native,W,USDA,shrub
Argyroxiphium kauense,Compositae,Dicot,end,native,W,USDA,shrub
Argyroxiphium sandwicense,Compositae,Dicot,end,native,W,USDA,shrub
Argyroxiphium virescens,Compositae,Dicot,end,native,W,USDA,shrub
Aristea gerrardii,Iridaceae,Monocot,nat,exotic,H,USDA,herb
Aristida adscensionis,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Aristolochia littoralis,Aristolochiaceae,Dicot,nat,exotic,W,SI,liana
Arrhenatherum elatius,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Artabotrys hexapetalus,Annonaceae,Dicot,nat,exotic,W,Cornwell2014,
Artemisia australis,Compositae,Dicot,end,native,W,SI,shrub/subshrub
Artemisia kauaiensis,Compositae,Dicot,end,native,W,USDA,shrub/subshrub
Artemisia mauiensis,Compositae,Dicot,end,native,W,SI,subshrub
Artemisia vulgaris,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Arthrostemma ciliatum,Melastomataceae,Dicot,nat,exotic,H,Cornwell2014,
Artocarpus altilis,Moraceae,Dicot,pol,exotic,W,Cornwell2014,
Artocarpus heterophyllus,Moraceae,Dicot,nat,exotic,W,Cornwell2014,
Arundina graminifolia,Orchidaceae,Monocot,nat,exotic,H,Cornwell2014,
Arundo donax,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Asclepias curassavica,Apocynaceae,Dicot,nat,exotic,H,Cornwell2014,
Asclepias physocarpa,Apocynaceae,Dicot,nat,exotic,H,USDA,herb
Asparagus asparagoides,Liliaceae,Monocot,nat,exotic,H,Cornwell2014,
Asparagus densiflorus,Liliaceae,Monocot,nat,exotic,H,Cornwell2014,
Asparagus plumosus,Liliaceae,Monocot,nat,exotic,H,Cornwell2014,
Astelia argyrocoma,Liliaceae,Monocot,end,native,H,USDA,herb
Astelia menziesiana,Liliaceae,Monocot,end,native,H,Cornwell2014,
Astelia waialealae,Liliaceae,Monocot,end,native,H,USDA,herb
Asystasia gangetica,Acanthaceae,Dicot,nat,exotic,variable,HEAR,herb/subshrub
Atractocarpus fitzalanii,Rubiaceae,Dicot,nat,exotic,W,Cornwell2014,
Atriplex canescens,Amaranthaceae,Dicot,nat,exotic,W,Cornwell2014,
Atriplex eardleyae,Amaranthaceae,Dicot,nat,exotic,H,Cornwell2014,
Atriplex lentiformis,Amaranthaceae,Dicot,nat,exotic,W,Cornwell2014,
Atriplex maximowicziana,Amaranthaceae,Dicot,nat,exotic,H,USDA,herb/subshrub
Atriplex semibaccata,Amaranthaceae,Dicot,nat,exotic,W,Cornwell2014,
Atriplex suberecta,Amaranthaceae,Dicot,nat,exotic,H,USDA,herb
Avena barbata,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Avena fatua,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Avena sativa,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Axonopus compressus,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Axonopus fissifolius,Poaceae,Monocot,nat,exotic,H,Cornwell2014,
Azadirachta indica,Meliaceae,Dicot,nat,exotic,W,Cornwell2014,
Bacopa monnieri,Scrophulariaceae,Dicot,ind,native,H,Cornwell2014,
Baltimora recta,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Banksia integrifolia,Proteaceae,Dicot,nat,exotic,W,Cornwell2014,
Barleria cristata,Acanthaceae,Dicot,nat,exotic,W,SI,shrub
Barleria repens,Acanthaceae,Dicot,nat,exotic,H,HEAR,herb
Basella alba,Basellaceae,Dicot,nat,exotic,variable,Cornwell2014,
Bassia hyssopifolia,Amaranthaceae,Dicot,nat,exotic,H,USDA,herb
Bastardia viscosa,Malvaceae,Dicot,nat,exotic,W,USDA,subshrub
Batis maritima,Bataceae,Dicot,nat,exotic,W,Cornwell2014,
Bauhinia glauca,Leguminosae,Dicot,nat,exotic,W,IUCN,liana
Bauhinia monandra,Leguminosae,Dicot,nat,exotic,W,Cornwell2014,
Begonia cucullata,Begoniaceae,Dicot,nat,exotic,H,Cornwell2014,
Begonia foliosa,Begoniaceae,Dicot,nat,exotic,H,HEAR,subshrub
Begonia fusca,Begoniaceae,Dicot,nat,exotic,H,HEAR,herb
Begonia hirtella,Begoniaceae,Dicot,nat,exotic,H,HEAR,herb
Begonia vitifolia,Begoniaceae,Dicot,nat,exotic,H,USDA,herb
Bellis perennis,Compositae,Dicot,nat,exotic,H,Cornwell2014,
Bidens alba,Compositae,Dicot,nat,exotic,H,SI,herb
Bidens amplectens,Compositae,Dicot,end,native,variable,SI,herb
Bidens asymmetrica,Compositae,Dicot,end,native,variable,SI,herb
Bidens campylotheca,Compositae,Dicot,end,native,variable,SI,herb
Bidens cervicata,Compositae,Dicot,end,native,variable,SI,herb
Bidens conjuncta,Compositae,Dicot,end,native,variable,SI,herb
Bidens cosmoides,Compositae,Dicot,end,native,variable,SI,herb
Bidens cynapiifolia,Compositae,Dicot,nat,exotic,H,HEAR,herb
Bidens forbesii,Compositae,Dicot,end,native,variable,SI,herb
Bidens gardneri,Compositae,Dicot,nat,exotic,H,SI,herb
Bidens hawaiensis,Compositae,Dicot,end,native,variable,SI,herb
Bidens hillebrandiana,Compositae,Dicot,end,native,variable,SI,herb
Bidens macrocarpa,Compositae,Dicot,end,native,variable,SI,herb
Bidens mauiensis,Compositae,Dicot,end,native,H,SI,herb
