"Original_name","ID","New.Genus","New.Species","Family","Accepted_name_species","Native_status","Island","Location"
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","Le",0
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","Kl",0
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","K",1
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","Ni",1
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","M",1
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","H",1
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","O",0
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","L",0
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","Ka",0
"Abrus precatorius",1,"Abrus","precatorius","Leguminosae","Abrus_precatorius","exotic","Mo",1
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","Kl",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","Ka",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","H",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","Le",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","O",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","K",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","Ni",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","L",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","Mo",0
"Abutilon auritum",2,"Abutilon","auritum","Malvaceae","Abutilon_auritum","exotic","M",1
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","Ka",0
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","M",0
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","Mo",0
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","L",1
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","H",0
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","Le",0
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","Ni",0
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","K",0
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","Kl",0
"Abutilon eremitopetalum",3,"Abutilon","eremitopetalum","Malvaceae","Abutilon_eremitopetalum","native","O",0
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","M",1
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","Kl",0
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","Ni",1
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","O",1
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","H",1
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","Ka",1
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","L",1
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","Mo",1
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","Le",1
"Abutilon grandifolium",4,"Abutilon","grandifolium","Malvaceae","Abutilon_grandifolium","exotic","K",1
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","H",1
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","Ka",0
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","K",0
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","L",1
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","Le",0
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","Ni",0
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","O",0
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","M",1
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","Mo",0
"Abutilon menziesii",5,"Abutilon","menziesii","Malvaceae","Abutilon_menziesii","native","Kl",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","M",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","Mo",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","Le",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","K",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","L",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","O",1
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","Ni",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","H",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","Kl",0
"Abutilon sandwicense",6,"Abutilon","sandwicense","Malvaceae","Abutilon_sandwicense","native","Ka",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","L",1
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","Ni",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","Mo",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","Le",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","O",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","H",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","M",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","Ka",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","K",0
"Acacia aneura",7,"Acacia","aneura","Leguminosae","Acacia_aneura","exotic","Kl",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","O",1
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","L",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","Mo",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","K",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","Ni",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","Ka",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","Le",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","H",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","M",0
"Acacia catechu",8,"Acacia","catechu","Leguminosae","Acacia_catechu","exotic","Kl",0
