"Accepted_name_species","Native_status","Island","Presence_Absence"
"Abrus_precatorius","exotic","H",1
"Abutilon_auritum","exotic","H",0
"Abutilon_eremitopetalum","native","H",0
"Abutilon_grandifolium","exotic","H",1
"Abutilon_menziesii","native","H",1
"Abutilon_sandwicense","native","H",0
"Acacia_aneura","exotic","H",0
"Acacia_catechu","exotic","H",0
"Acacia_confusa","exotic","H",1
"Acacia_farnesiana","exotic","H",1
"Acacia_koa","native","H",1
"Acacia_koaia","native","H",1
"Acacia_mangium","exotic","H",1
"Acacia_mearnsii","exotic","H",1
"Acacia_melanoxylon","exotic","H",0
"Acacia_parramattensis","exotic","H",0
"Acanthocereus_tetragonus","exotic","H",0
"Achyranthes_mutica","native","H",1
"Achyranthes_splendens","native","H",0
"Adenanthera_pavonina","exotic","H",0
"Ageratina_riparia","exotic","H",1
"Ailanthus_altissima","exotic","H",0
"Albizia_chinensis","exotic","H",1
"Albizia_lebbeck","exotic","H",1
"Albizia_moluccana","exotic","H",1
"Albizia_niopoides","exotic","H",0
"Albizia_saman","exotic","H",1
"Albizia_saponaria","exotic","H",0
"Alectryon_macrococcum","native","H",0
"Aleurites_moluccanus","exotic","H",1
"Alnus_nepalensis","exotic","H",0
"Alphitonia_excelsa","exotic","H",0
"Alphitonia_ponderosa","native","H",1
"Alsinidendron_obovatum","native","H",0
"Alsinidendron_trinerve","native","H",0
"Alsinidendron_viscosum","native","H",0
"Alstonia_macrophylla","exotic","H",1
"Alyxia_stellata","native","H",1
"Angophora_costata","exotic","H",0
"Annona_cherimola","exotic","H",1
"Annona_muricata","exotic","H",0
"Antidesma_platyphyllum","native","H",1
"Antidesma_pulvinatum","native","H",1
"Antigonon_leptopus","exotic","H",1
"Archontophoenix_alexandrae","exotic","H",1
"Ardisia_crenata","exotic","H",1
"Ardisia_elliptica","exotic","H",1
"Arenga_pinnata","exotic","H",1
"Argyroxiphium_caliginis","native","H",0
"Argyroxiphium_grayanum","native","H",0
"Argyroxiphium_kauense","native","H",1
"Argyroxiphium_sandwicense","native","H",1
"Argyroxiphium_virescens","native","H",0
"Aristolochia_littoralis","exotic","H",0
"Artabotrys_hexapetalus","exotic","H",1
"Artemisia_australis","native","H",1
"Artemisia_kauaiensis","native","H",0
"Artemisia_mauiensis","native","H",0
"Artocarpus_heterophyllus","exotic","H",1
"Atractocarpus_fitzalanii","exotic","H",0
"Atriplex_canescens","exotic","H",1
"Atriplex_lentiformis","exotic","H",0
"Atriplex_semibaccata","exotic","H",1
"Azadirachta_indica","exotic","H",0
"Banksia_integrifolia","exotic","H",0
"Barleria_cristata","exotic","H",1
"Bastardia_viscosa","exotic","H",1
"Batis_maritima","exotic","H",1
"Bauhinia_glauca","exotic","H",0
"Bauhinia_monandra","exotic","H",1
"Bidens_menziesii","native","H",1
"Bischofia_javanica","exotic","H",0
"Bixa_orellana","exotic","H",0
"Bobea_brevipes","native","H",0
"Bobea_gaudichaudii","native","H",1
"Bobea_sandwicensis","native","H",0
"Bobea_timonioides","native","H",1
"Bocconia_frutescens","exotic","H",1
"Boehmeria_grandis","native","H",1
"Boehmeria_nivea","exotic","H",1
"Bonamia_menziesii","native","H",1
"Brexia_madagascariensis","exotic","H",0
"Breynia_disticha","exotic","H",1
"Brighamia_insignis","native","H",0
"Brighamia_rockii","native","H",0
"Broussaisia_arguta","native","H",1
"Broussonetia_papyrifera","exotic","H",1
"Brugmansia_×candida","exotic","H",1
"Bruguiera_sexangula","exotic","H",0
"Buddleja_asiatica","exotic","H",1
"Buddleja_davidii","exotic","H",0
"Buddleja_madagascariensis","exotic","H",1
"Caesalpinia_bonduc","native","H",1
"Caesalpinia_crista","exotic","H",0
"Caesalpinia_decapetala","exotic","H",1
"Caesalpinia_globulorum","exotic","H",1
"Caesalpinia_kauaiensis","native","H",1
"Cajanus_cajan","exotic","H",1
"Calliandra_houstoniana","exotic","H",1
"Calliandra_surinamensis","exotic","H",0
"Calophyllum_inophyllum","exotic","H",1
"Calopogonium_galactioides","exotic","H",0
"Calotropis_gigantea","exotic","H",0
"Calotropis_procera","exotic","H",1
"Camellia_sinensis","exotic","H",1
"Capparidastrum_mollicellum","exotic","H",0
"Capparis_mariana","native","H",1
"Carica_papaya","exotic","H",1
"Carissa_macrocarpa","exotic","H",0
"Caryota_mitis","exotic","H",0
"Cascabela_thevetia","exotic","H",0
"Cassia_javanica","exotic","H",0
"Casuarina_cunninghamiana","exotic","H",0
"Casuarina_equisetifolia","exotic","H",1
"Casuarina_glauca","exotic","H",1
"Catalpa_longissima","exotic","H",0
"Catha_edulis","exotic","H",0
"Cecropia_obtusifolia","exotic","H",1
"Cedrela_odorata","exotic","H",0
"Cereus_uruguayanus","exotic","H",0
"Cestrum_aurantiacum","exotic","H",1
"Cestrum_diurnum","exotic","H",0
"Cestrum_nocturnum","exotic","H",1
"Chamaecrista_nictitans","exotic","H",1
"Charpentiera_densiflora","native","H",0
"Charpentiera_elliptica","native","H",0
"Charpentiera_obovata","native","H",1
"Charpentiera_ovata","native","H",1
"Charpentiera_tomentosa","native","H",1
"Cheirodendron_dominii","native","H",0
"Cheirodendron_fauriei","native","H",0
"Cheirodendron_forbesii","native","H",0
"Cheirodendron_platyphyllum","native","H",0
"Cheirodendron_trigynum","native","H",1
"Chenopodium_oahuense","native","H",1
"Chromolaena_odorata","exotic","H",0
"Chrysobalanus_icaco","exotic","H",0
"Chrysophyllum_oliviforme","exotic","H",1
"Cinchona_pubescens","exotic","H",1
"Cinnamomum_burmanni","exotic","H",1
"Cinnamomum_camphora","exotic","H",0
"Cinnamomum_verum","exotic","H",1
"Cissus_alata","exotic","H",0
"Cissus_nodosa","exotic","H",1
"Cissus_rotundifolia","exotic","H",1
"Cissus_verticillata","exotic","H",0
"Citharexylum_caudatum","exotic","H",1
"Citharexylum_spinosum","exotic","H",0
"Claoxylon_sandwicense","native","H",1
"Clermontia_arborescens","native","H",0
"Clermontia_calophylla","native","H",1
"Clermontia_clermontioides","native","H",1
"Clermontia_drepanomorpha","native","H",1
"Clermontia_fauriei","native","H",0
"Clermontia_grandiflora","native","H",0
"Clermontia_hawaiiensis","native","H",1
"Clermontia_kakeana","native","H",0
"Clermontia_kohalae","native","H",1
"Clermontia_lindseyana","native","H",1
"Clermontia_micrantha","native","H",0
"Clermontia_montis-loa","native","H",1
"Clermontia_multiflora","native","H",0
"Clermontia_oblongifolia","native","H",0
"Clermontia_pallida","native","H",0
"Clermontia_parviflora","native","H",1
"Clermontia_peleana","native","H",1
"Clermontia_persicifolia","native","H",0
"Clermontia_pyrularia","native","H",1
"Clermontia_samuelii","native","H",0
"Clermontia_tuberculata","native","H",0
"Clermontia_waimeae","native","H",1
"Clerodendrum_buchananii","exotic","H",1
"Clerodendrum_chinense","exotic","H",1
"Clerodendrum_macrostegium","exotic","H",0
"Clethra_lanata","exotic","H",0
"Clidemia_hirta","exotic","H",1
"Clitoria_heterophylla","exotic","H",1
"Clusia_rosea","exotic","H",1
"Coccoloba_uvifera","exotic","H",1
"Coccothrinax_barbadensis","exotic","H",0
"Cocos_nucifera","exotic","H",1
"Coffea_arabica","exotic","H",1
"Coffea_liberica","exotic","H",0
"Colubrina_asiatica","native","H",0
"Colubrina_oppositifolia","native","H",1
"Conocarpus_erectus","exotic","H",1
"Coprosma_cymosa","native","H",1
"Coprosma_elliptica","native","H",0
"Coprosma_ernodeoides","native","H",1
"Coprosma_foliosa","native","H",0
