"SPP_CODE3A","Naturalized_Introduced","Cultivated"
"ACACON","Naturalized",1
"AGEADE","Naturalized",0
"ALEMOL","Polynesian_Intro",1
"ARCALE","Naturalized",1
"ARDELL","Naturalized",0
"BAMSPP","Naturalized",1
"BOCFRU","Naturalized",0
"CASCUN","Not_Naturalized",1
"CASEQU","Naturalized",1
"CASGLA","Naturalized",1
"CECOBT","Naturalized",0
"CHROLI","Naturalized",1
"CINBUR","Naturalized",1
"CINVER","Naturalized",1
"CITCAU","Naturalized",1
"CLIHIR","Naturalized",0
"CLUROS","Naturalized",1
"COCNUC","Polynesian_Intro",1
"CORFRU","Polynesian_Intro",1
"CRYSPP","Naturalized",1
"DILSUF","Naturalized",0
"EUCDEG","Naturalized",1
"EUCGRA","Not_Naturalized",1
"EUCROB","Naturalized",1
"EUCSAL","Naturalized",0
"EUCSPP","Not_Naturalized",1
"FALMOL","Naturalized",1
"FICMIC","Naturalized",1
"FLIBRA","Naturalized",1
"FRAUHD","Naturalized",1
"GREBAN","Naturalized",1
"GREROB","Naturalized",1
"HELPOP","Naturalized",1
"ILEPAR","Naturalized",1
"LANCAM","Naturalized",1
"LEPSCO","Naturalized",1
"LEULEU","Naturalized",1
"LYSWAT","Not_Naturalized",1
"MACMAP","Naturalized",0
"MANSPP","Naturalized",1
"ME2SPP","Naturalized",1
"ME3SPP","Not_Naturalized",1
"MELAZE","Naturalized",1
"MELCAN","Naturalized",1
"MELQUI","Naturalized",1
"MELSEP","Naturalized",1
"MELUMB","Naturalized",1
"MORCIT","Polynesian_Intro",1
"MYRFAY","Naturalized",1
"PASEDU","Naturalized",1
"PERAME","Naturalized",1
"PINELL","Naturalized",1
"PINPAT","Naturalized",1
"PINPIN","Not_Naturalized",1
"PINRAD","Naturalized",1
"PITDUL","Naturalized",1
"PROPAL","Naturalized",0
"PRUSPP","Naturalized",1
"PSICAT","Naturalized",1
"PSIGUA","Naturalized",1
"RHOTOM","Naturalized",1
"RUBNIV","Naturalized",1
"RUBROS","Naturalized",0
"SAMSAM","Naturalized",1
"SCHACT","Naturalized",1
"SCHTER","Naturalized",1
"SEQSEM","Not_Naturalized",1
"SPACAM","Naturalized",1
"SPHCOO","Naturalized",1
"STADIC","Naturalized",0
"SWIMAC","Naturalized",1
"SYZCUM","Naturalized",1
"SYZJAM","Naturalized",1
"SYZMAL","Polynesian_Intro",1
"TETBIC","Naturalized",1
"TIBHER","Naturalized",1
"TOOCIL","Naturalized",1
"TREORI","Naturalized",0
