"Family","SPP_CODE3","SPP_CODE3A","Accepted_name_species","Genus","Species","Native_Status_USDA","Native_Status_HawFlora","Native_Status_HawFlora_simple","Is_Angio","Order","Monocot"
1,"NOTSAN","NOTSAN","Nototrichium sandwicense","Nototrichium","sandwicense",NA,"Endemic","native",1,"Caryophyllales",0
1,"CHEOAH","CHEOAH","Chenopodium oahuense","Chenopodium","oahuense",NA,"Endemic","native",1,"Caryophyllales",0
2,"SCHTER","SCHTER","Schinus terebinthifolia","Schinus","terebinthifolia","L48 (I), HI (I), PR (I), VI (I)","Naturalized","alien",1,"Sapindales",0
2,"M50","MANSPP","Mangifera spp1","Mangifera","spp1",NA,NA,"alien",1,"Sapindales",0
3,"M91","M91","Unknown",NA,"na",NA,NA,"uncertain",1,NA,0
NA,"M12","M12","Tree unknown 2",NA,"na",NA,NA,"uncertain",1,NA,0
NA,"M29","M29","Tree unknown 1",NA,"na",NA,NA,"uncertain",1,NA,0
NA,"M92","M92","Tree unknown - with black fruits",NA,"na",NA,NA,"uncertain",1,NA,0
4,"RAUSAN","RAUSAN","Rauvolfia sandwicensis","Rauvolfia","sandwicensis",NA,"Endemic","native",1,"Gentianales",0
4,"ALYSTE","ALYSTE","Alyxia stellata","Alyxia","stellata",NA,"Indigenous","native",1,"Gentianales",0
5,"ILEPAR","ILEPAR","Ilex paraguariensis","Ilex","paraguariensis",NA,"Naturalized","alien",1,"Aquifoliales",0
5,"ILEANO","ILEANO","Ilex anomala","Ilex","anomala",NA,"Indigenous","native",1,"Aquifoliales",0
6,"CHETRI","CHETRI","Cheirodendron trigynum","Cheirodendron","trigynum",NA,"Endemic","native",1,"Apiales",0
6,"CHEPLA","CHEPLA","Cheirodendron platyphyllum","Cheirodendron","platyphyllum",NA,"Endemic","native",1,"Apiales",0
6,"CHEFOR","CHEFOR","Cheirodendron forbesii","Cheirodendron","forbesii",NA,"Endemic","native",1,"Apiales",0
6,"M51","POLSPP","Polyscias spp1","Polyscias","spp1",NA,NA,"native",1,"Apiales",0
6,"POLOAH","POLOAH","Polyscias oahuensis","Polyscias","oahuensis",NA,"Endemic","native",1,"Apiales",0
6,"TETHAW","TETHAW","Polyscias hawaiensis","Polyscias","hawaiensis",NA,"Endemic","native",1,"Apiales",0
6,"SCHACT","SCHACT","Schefflera actinophylla","Schefflera","actinophylla",NA,"Naturalized","alien",1,"Apiales",0
6,"REYSAN","REYSAN","Polyscias sandwicensis","Polyscias","sandwicensis",NA,"Endemic","native",1,"Apiales",0
7,"ARCALE","ARCALE","Archontophoenix alexandrae","Archontophoenix","alexandrae",NA,"Naturalized","alien",1,"Arecales",1
7,"M19","PRITSPP","Pritchardia spp1","Pritchardia","spp1",NA,NA,"native",1,"Arecales",1
7,"COCNUC","COCNUC","Cocos nucifera","Cocos","nucifera","L48 (I), HI (I), PR (I), VI (I)","Polynesian_Intro","alien",1,"Arecales",1
7,"PRIMUN","PRIMUN","Pritchardia munroi","Pritchardia","munroi","HI (N)","Endemic","native",1,"Arecales",1
8,"CORFRU","CORFRU","Cordyline fruticosa","Cordyline","fruticosa","HI (I), PR (I)","Polynesian_Intro","alien",1,"Asparagales",1
8,"PLEAUR","PLEAUR","Dracaena aurea","Dracaena","aurea",NA,"Endemic","native",1,"Asparagales",1
8,"PLEAUW","PLEAUW","Dracaena rockii","Dracaena","rockii",NA,"Endemic","native",1,"Asparagales",1
8,"PLEHAW","PLEHAW","Dracaena konaensis","Dracaena","konaensis",NA,"Endemic","native",1,"Asparagales",1
9,"SPACAM","SPACAM","Spathodea campanulata","Spathodea","campanulata",NA,"Naturalized","alien",1,"Lamiales",0
10,"SADPAL","SADPAL","Sadleria pallida","Sadleria","pallida",NA,"Endemic","native",0,"Polypodiales",0
10,"M49","SADSPP","Sadleria spp1","Sadleria","spp1",NA,NA,"native",0,"Polypodiales",0
10,"M8","SADSPP","Sadleria spp2","Sadleria","spp2",NA,NA,"native",0,"Polypodiales",0
10,"SADSOU","SADSOU","Sadleria souleytiana","Sadleria","souleytiana",NA,"Endemic","native",0,"Polypodiales",0
10,"SADCYA","SADCYA","Sadleria cyatheoides","Sadleria","cyatheoides",NA,"Endemic","native",0,"Polypodiales",0
11,"CYAHIR","CYAHIR","Cyanea hirtella","Cyanea","hirtella",NA,"Endemic","native",1,"Asterales",0
11,"CLEKAK","CLEKAK","Clermontia kakeana","Clermontia","kakeana",NA,"Endemic","native",1,"Asterales",0
11,"CLEPAR","CLEPAR","Clermontia parviflora","Clermontia","parviflora",NA,"Endemic","native",1,"Asterales",0
11,"CLEARB","CLEARB","Clermontia arborescens","Clermontia","arborescens",NA,"Endemic","native",1,"Asterales",0
11,"CLESPP","CLESPP","Clermontia spp.","Clermontia","spp.",NA,"Endemic","native",1,"Asterales",0
11,"M89","CYASPP","Cyanea spp1","Cyanea","spp1",NA,NA,"native",1,"Asterales",0
11,"TREGRA","TREGRA","Trematolobelia grandifolia","Trematolobelia","grandifolia",NA,"Endemic","native",1,"Asterales",0
12,"TREORI","TREORI","Trema orientalis","Trema","orientalis",NA,"Naturalized","alien",1,"Rosales",0
13,"CASCUN","CASCUN","Casuarina cunninghamiana","Casuarina","cunninghamiana","L48 (I), PR (I)","Naturalized","alien",1,"Fagales",0
13,"CASEQU","CASEQU","Casuarina equisetifolia","Casuarina","equisetifolia","L48 (I), HI (I), PR (I), VI (I)","Naturalized","alien",1,"Fagales",0
13,"CASGLA","CASGLA","Casuarina glauca","Casuarina","glauca","L48 (I), HI (I)","Naturalized","alien",1,"Fagales",0
14,"CIBCHA","CIBCHA","Cibotium chamissoi","Cibotium","chamissoi","HI (N)","Endemic","native",0,"Cyatheales",0
14,"CIBGLA","CIBGLA","Cibotium glaucum","Cibotium","glaucum","HI (N)","Endemic","native",0,"Cyatheales",0
14,"M25","CIBSPP","Cibotium spp1","Cibotium","spp1",NA,NA,"native",0,"Cyatheales",0
14,"CIBMEN","CIBMEN","Cibotium menziesii","Cibotium","menziesii",NA,"Endemic","native",0,"Cyatheales",0
14,"M6","CIBSPP","Cibotium spp2","Cibotium","spp2",NA,NA,"native",0,"Cyatheales",0
15,"CLUROS","CLUROS","Clusia rosea","Clusia","rosea",NA,"Naturalized","alien",1,"Malpighiales",0
16,"AGEADE","AGEADE","Ageratina adenophora","Ageratina","adenophora",NA,"Naturalized","alien",1,NA,0
16,"DUBPLA","DUBPLA","Dubautia plantaginea","Dubautia","plantaginea",NA,"Endemic","native",1,NA,0
17,"SEQSEM","SEQSEM","Sequoia sempervirens","Sequoia","sempervirens","L48 (N)","Naturalized","alien",0,"Pinales",0
17,"M45","CRYSPP","Cryptomeria spp1","Cryptomeria","spp1",NA,NA,"alien",0,"Pinales",0
18,"SPHCOO","SPHCOO","Sphaeropteris cooperi","Sphaeropteris","cooperi",NA,"Naturalized","alien",0,"Cyatheales",0
19,"DILSUF","DILSUF","Dillenia suffruticosa","Dillenia","suffruticosa",NA,"Naturalized","alien",1,"Dilleniales",0
20,"PERSAN","PERSAN","Perrottetia sandwicensis","Perrottetia","sandwicensis",NA,"Endemic","native",1,"Huerteales",0
21,"DIOHIL","DIOHIL","Diospyros hillebrandii","Diospyros","hillebrandii",NA,"Endemic","native",1,"Ericales",0
21,"DIOSAN","DIOSAN","Diospyros sandwicensis","Diospyros","sandwicensis",NA,"Endemic","native",1,"Ericales",0
22,"STYTAM","STYTAM","Styphelia tameiameiae","Styphelia","tameiameiae",NA,"Indigenous","native",1,"Ericales",0
22,"VACCAL","VACCAL","Vaccinium calycinum","Vaccinium","calycinum",NA,"Endemic","native",1,"Ericales",0
22,"VACDEN","VACDEN","Vaccinium dentatum","Vaccinium","dentatum",NA,"Endemic","native",1,"Ericales",0
22,"VACRET","VACRET","Vaccinium reticulatum","Vaccinium","reticulatum",NA,"Endemic","native",1,"Ericales",0
23,"CHACEL","CHACEL","Euphorbia celastroides","Euphorbia","celastroides",NA,"Endemic","native",1,"Malpighiales",0
23,"MACMAP","MACMAP","Macaranga mappa","Macaranga","mappa",NA,"Naturalized","alien",1,"Malpighiales",0
23,"ALEMOL","ALEMOL","Aleurites moluccanus","Aleurites","moluccanus",NA,"Polynesian_Intro","alien",1,"Malpighiales",0
23,"CLASAN","CLASAN","Claoxylon sandwicense","Claoxylon","sandwicense",NA,"Endemic","native",1,"Malpighiales",0
23,"CHAOLO","CHAOLO","Euphorbia olowaluana","Euphorbia","olowaluana",NA,"Endemic","native",1,"Malpighiales",0
23,"CHAMUL","CHAMUL","Euphorbia multiformis","Euphorbia","multiformis",NA,"Endemic","native",1,"Malpighiales",0
24,"CYRPLA","CYRPLA","Cyrtandra platyphylla","Cyrtandra","platyphylla",NA,"Endemic","native",1,"Lamiales",0
24,"CYRLON","CYRLON","Cyrtandra longifolia","Cyrtandra","longifolia",NA,"Endemic","native",1,"Lamiales",0
