"Long_Dec","Lat_Dec","PlotIDn","CellID","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET"
-157.880206,21.406344,1,29443539,21.5403957366943,1157.84130859375,43.1881370544434,136.055297851562,339.453002929688,59,38,1324.67602539062
-154.910211,19.443586,2,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,3,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,4,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,5,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,6,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,7,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,8,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,9,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,10,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,11,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,12,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,13,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-154.910211,19.443586,14,32650847,23.1727542877197,3621.98022460938,22.107816696167,113.452323913574,156.561828613281,34,22,1376.17248535156
-156.228992,20.779832,15,30462879,13.525860786438,5842.95849609375,29.7213726043701,122.781837463379,1788.17199707031,18.8718223571777,12.5812149047852,1095.63366699219
-155.184747,19.327124,16,32841068,19.5342235565186,3323.47241210938,23.4604682922363,122.162826538086,756.222351074219,26.8870391845703,17.4435195922852,1270.24926757812
-155.183294,19.326618,17,32841068,19.5342235565186,3323.47241210938,23.4604682922363,122.162826538086,756.222351074219,26.8870391845703,17.4435195922852,1270.24926757812
